Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
3200,1,1,1,3200,1,9288.9923,7205.7368,7118.1291,28411.4973,3336.780592,2641.224993
,,,,,2,9201.3732,7080.3051,6994.2224,27803.9643,3336.780592,2488.697939
,,,,,3,9201.3732,7080.3051,6994.2224,27019.7452,3336.780592,2488.697939
,,,,,4,9201.3732,7080.3051,6994.2224,27019.7452,3336.780592,2488.697939
,,,,,5,9546.6028,7080.3051,6994.2224,27019.7452,3336.780592,2488.697939
,,,,,6,11122.2004,8000.8798,7903.6046,28075.7233,3336.780592,2488.697939
,,,,,7,12122.2433,8571.4487,8467.2365,29520.3686,3336.780592,2641.224993
,,,,,8,11936.5774,8705.0115,8599.1755,29104.2287,3336.780592,2641.224993
,,,,,9,12375.0539,9256.6357,9144.093,30759.7499,3336.780592,2641.224993
,,,,,10,12640.7294,9666.9907,9549.4589,32520.9151,3336.780592,2641.224993
,,,,,11,13332.974,10478.7621,10351.3607,33218.6396,3867.003475,2641.224993
,,,,,12,13146.5113,9588.9304,9472.3476,32183.184,3867.003475,2641.224993
,,,,,13,12100.2663,9427.8648,9313.2403,31514.0028,3867.003475,2488.697939
,,,,,14,12246.8832,9629.9512,9512.8697,32393.4188,3867.003475,2488.697939
,,,,,15,12223.5345,9537.5247,9421.567,32497.2846,3867.003475,2488.697939
,,,,,16,12495.5874,9760.5473,9641.878,32732.3976,3336.780592,2641.224993
,,,,,17,14033.3698,9955.5958,9834.5552,32567.9315,3666.031821,2815.030299
,,,,,18,13569.7828,9779.1014,9660.2066,31485.877,3666.031821,2815.030299
,,,,,19,12659.6486,9377.4159,9263.4048,30981.6794,3666.031821,2815.030299
,,,,,20,13035.6117,9716.0829,9597.9543,31634.6465,3666.031821,2815.030299
,,,,,21,12504.4307,9475.1374,9359.9382,31914.9351,3666.031821,2815.030299
,,,,,22,11522.8671,8963.5611,8854.5817,34060.8492,3336.780592,2815.030299
,,,,,23,10520.554,8227.6761,8127.6435,31846.9852,3336.780592,2815.030299
,,,,,24,9560.0524,7601.5357,7509.1158,29689.0812,3336.780592,2815.030299
,,,,,25,9266.7094,7198.7276,7111.205,28008.2825,3282.400655,2559.920886
,,,,,26,9174.1867,7069.7668,6983.8122,27438.2641,3282.400655,2426.540953
,,,,,27,9174.1867,7069.7668,6983.8122,26711.2144,3282.400655,2426.540953
,,,,,28,9174.1867,7069.7668,6983.8122,26711.2144,3282.400655,2426.540953
,,,,,29,9531.0803,7069.7668,6983.8122,26711.2144,3282.400655,2426.540953
,,,,,30,11148.0258,8007.4462,7910.0912,27693.2422,3282.400655,2426.540953
,,,,,31,12174.3125,8587.7565,8483.3461,29048.6819,3282.400655,2559.920886
