HL_to_IME,HL_to_JL,IME_to_JL,IME_to_LN,JL_to_LN,IME_to_SD,LN_to_JB
-3347.189191,1330.7946,492.8451077,5563.4888,1709.7551,3433.255059,2686.902332
-3347.189191,1330.7946,492.8451077,5563.4888,1709.7551,3433.255059,2531.737476
-3347.189191,1330.7946,492.8451077,5563.4888,1709.7551,3433.255059,2531.737476
-3347.189191,1330.7946,492.8451077,5563.4888,1709.7551,3433.255059,2531.737476
-3347.189191,1330.7946,492.8451077,5563.4888,1709.7551,3433.255059,2531.737476
-3746.261224,1330.7946,492.8451077,5998.9181,1843.57,3433.255059,2531.737476
-3905.364935,1648.2142,610.3979796,5998.9181,1843.57,3433.255059,2686.902332
-3905.364935,1648.2142,610.3979796,5998.9181,1843.57,3433.255059,2686.902332
-3905.364935,1648.2142,610.3979796,6045.6007,1857.9163,3433.255059,2686.902332
-3746.261224,1776.3525,657.8525698,6045.6007,1857.9163,3433.255059,2686.902332
-3746.261224,1776.3525,657.8525698,5998.9181,1843.57,3978.80798,2686.902332
-3347.189191,1648.2142,610.3979796,5563.4888,1709.7551,3978.80798,2686.902332
-3347.189191,1648.2142,610.3979796,5563.4888,1709.7551,3978.80798,2531.737476
-3347.189191,1648.2142,610.3979796,5998.9181,1843.57,3978.80798,2531.737476
-3347.189191,1776.3525,657.8525698,5998.9181,1843.57,3978.80798,2531.737476
-3746.261224,1776.3525,657.8525698,5998.9181,1843.57,3433.255059,2686.902332
-3746.261224,1776.3525,657.8525698,6045.6007,1857.9163,3772.025744,2863.713427
-3905.364935,1776.3525,657.8525698,6045.6007,1857.9163,3772.025744,2863.713427
-3905.364935,1776.3525,657.8525698,6045.6007,1857.9163,3772.025744,2863.713427
-3905.364935,1776.3525,657.8525698,6045.6007,1857.9163,3772.025744,2863.713427
-3905.364935,1776.3525,657.8525698,6045.6007,1857.9163,3772.025744,2863.713427
-3905.364935,1648.2142,610.3979796,5998.9181,1843.57,3433.255059,2863.713427
-3746.261224,1648.2142,610.3979796,5563.4888,1709.7551,3433.255059,2863.713427
-3746.261224,1330.7946,492.8451077,5563.4888,1709.7551,3433.255059,2863.713427
-3351.40617,1329.6793,492.4320891,5478.2296,1683.5535,3377.302866,2604.192153
-3351.40617,1329.6793,492.4320891,5478.2296,1683.5535,3377.302866,2468.505548
-3351.40617,1329.6793,492.4320891,5478.2296,1683.5535,3377.302866,2468.505548
-3351.40617,1329.6793,492.4320891,5478.2296,1683.5535,3377.302866,2468.505548
-3351.40617,1329.6793,492.4320891,5478.2296,1683.5535,3377.302866,2468.505548
-3760.791647,1329.6793,492.4320891,5887.0285,1809.1844,3377.302866,2468.505548
-3924.501907,1652.6628,612.0454649,5887.0285,1809.1844,3377.302866,2604.192153
-3924.501907,1652.6628,612.0454649,5887.0285,1809.1844,3377.302866,2604.192153
-3924.501907,1652.6628,612.0454649,5930.0156,1822.395,3377.302866,2604.192153
-3760.791647,1782.8254,660.2497428,5930.0156,1822.395,3377.302866,2604.192153
-3760.791647,1782.8254,660.2497428,5887.0285,1809.1844,3942.700182,2604.192153
