Time_Index,None,HL_Coal,IME_Coal,JL_Coal,LN_Coal,SD_Coal,JB_Coal,HL_Gas,IME_Gas,JL_Gas,LN_Gas,SD_Gas,JB_Gas
0,0,0.09552,0.09552,0.09552,0.09552,0.09552,0.09552,0.05306,0.05306,0.05306,0.05306,0.05306,0.05306
1,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
2,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
3,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
4,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
5,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
6,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
7,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
8,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
9,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
10,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
11,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
12,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
13,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
14,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
15,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
16,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
17,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
18,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
19,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
20,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
21,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
22,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
23,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
24,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
25,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
26,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
27,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
28,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
29,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
30,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
31,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
32,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
33,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
34,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
35,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
36,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
37,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
38,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
39,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
40,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
41,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
42,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
43,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
44,0,5.297560394,4.292181194,5.016892034,4.727845514,6.769831873,6.769831873,6.564279638,4.883183633,6.564279638,7.364801545,7.364801545,7.364801545
