,hour,tech,dispatch,zone,period
0,1,net_export,-14063.623605318353,ime,2021 week 5
1,2,net_export,-13979.132461786663,ime,2021 week 5
2,3,net_export,-14631.061087263412,ime,2021 week 5
3,4,net_export,-14634.87393643187,ime,2021 week 5
4,5,net_export,-13857.12210213387,ime,2021 week 5
5,6,net_export,-12500.154079982633,ime,2021 week 5
6,7,net_export,-13237.673058759954,ime,2021 week 5
7,8,net_export,-12242.151265914257,ime,2021 week 5
8,9,net_export,-11267.851605992,ime,2021 week 5
9,10,net_export,-10749.150997980454,ime,2021 week 5
10,11,net_export,-10076.398746184275,ime,2021 week 5
11,12,net_export,-11263.475146743818,ime,2021 week 5
12,13,net_export,-12296.487201921267,ime,2021 week 5
13,14,net_export,-12218.403114188024,ime,2021 week 5
14,15,net_export,-12198.44926534025,ime,2021 week 5
15,16,net_export,-11718.329293959006,ime,2021 week 5
16,17,net_export,-11186.728525875122,ime,2021 week 5
17,18,net_export,-10840.311911156514,ime,2021 week 5
18,19,net_export,-11122.487322823159,ime,2021 week 5
19,20,net_export,-11149.394283365595,ime,2021 week 5
20,21,net_export,-11538.556749440444,ime,2021 week 5
21,22,net_export,-12039.239906383753,ime,2021 week 5
22,23,net_export,-12505.230561639337,ime,2021 week 5
23,24,net_export,-12513.463191010485,ime,2021 week 5
24,25,net_export,-12812.247785060908,ime,2021 week 5
25,26,net_export,-12818.768318439203,ime,2021 week 5
26,27,net_export,-12950.389213753288,ime,2021 week 5
27,28,net_export,-13060.376761698777,ime,2021 week 5
28,29,net_export,-12950.873948612338,ime,2021 week 5
29,30,net_export,-12780.764544966712,ime,2021 week 5
30,31,net_export,-11971.4370147739,ime,2021 week 5
31,32,net_export,-11604.71631094829,ime,2021 week 5
32,33,net_export,-11735.550250457147,ime,2021 week 5
33,34,net_export,-11873.2785275648,ime,2021 week 5
34,35,net_export,-11548.031345732066,ime,2021 week 5
35,36,net_export,-12747.258985840814,ime,2021 week 5
36,37,net_export,-13337.455755562303,ime,2021 week 5
