,hour,tech,dispatch,zone,period
0,1,net_export,-2391.9754426187346,hl,2021 week 12
1,2,net_export,-2391.9754426187346,hl,2021 week 12
2,3,net_export,-2391.9754426187346,hl,2021 week 12
3,4,net_export,-1957.0708166880554,hl,2021 week 12
4,5,net_export,-1957.0708166880554,hl,2021 week 12
5,6,net_export,-2046.7800986086709,hl,2021 week 12
6,7,net_export,-2445.766186609719,hl,2021 week 12
7,8,net_export,-2445.766186609719,hl,2021 week 12
8,9,net_export,-2445.766186609719,hl,2021 week 12
9,10,net_export,-2753.805292659269,hl,2021 week 12
10,11,net_export,-2648.4413755702317,hl,2021 week 12
11,12,net_export,-2650.072752236626,hl,2021 week 12
12,13,net_export,-2687.0906553375553,hl,2021 week 12
13,14,net_export,-2687.0906553375553,hl,2021 week 12
14,15,net_export,-2863.3507985395554,hl,2021 week 12
15,16,net_export,-2916.1986733736308,hl,2021 week 12
16,17,net_export,-2553.713155854171,hl,2021 week 12
17,18,net_export,-3050.1445819079318,hl,2021 week 12
18,19,net_export,-2989.325955653719,hl,2021 week 12
19,20,net_export,-2989.325955653719,hl,2021 week 12
20,21,net_export,-2989.325955653719,hl,2021 week 12
21,22,net_export,-2813.065812451719,hl,2021 week 12
22,23,net_export,-2776.799937258171,hl,2021 week 12
23,24,net_export,-2333.475232715671,hl,2021 week 12
24,25,net_export,-1982.4972639347745,hl,2021 week 12
25,26,net_export,-1982.4972639347745,hl,2021 week 12
26,27,net_export,-1982.4972639347745,hl,2021 week 12
27,28,net_export,-1982.4972639347745,hl,2021 week 12
28,29,net_export,-1982.4972639347745,hl,2021 week 12
29,30,net_export,-2069.6474542986543,hl,2021 week 12
30,31,net_export,-2468.576028328317,hl,2021 week 12
31,32,net_export,-2468.576028328317,hl,2021 week 12
32,33,net_export,-2468.576028328317,hl,2021 week 12
33,34,net_export,-2578.0608215811544,hl,2021 week 12
34,35,net_export,-2578.0608215811544,hl,2021 week 12
35,36,net_export,-2346.302989755274,hl,2021 week 12
36,37,net_export,-2346.302989755274,hl,2021 week 12
37,38,net_export,-2346.302989755274,hl,2021 week 12
38,39,net_export,-2490.9106312172744,hl,2021 week 12
39,40,net_export,-2578.0608215811544,hl,2021 week 12
40,41,net_export,-2578.0608215811544,hl,2021 week 12
41,42,net_export,-2613.1836697903173,hl,2021 week 12
42,43,net_export,-2613.1836697903173,hl,2021 week 12
43,44,net_export,-2613.1836697903173,hl,2021 week 12
44,45,net_export,-2613.1836697903173,hl,2021 week 12
45,46,net_export,-2468.576028328317,hl,2021 week 12
46,47,net_export,-2433.4531801191542,hl,2021 week 12
47,48,net_export,-2069.6474542986543,hl,2021 week 12
48,49,net_export,-2005.4688556684052,hl,2021 week 12
49,50,net_export,-2005.4688556684052,hl,2021 week 12
50,51,net_export,-2005.4688556684052,hl,2021 week 12
51,52,net_export,-2005.4688556684052,hl,2021 week 12
52,53,net_export,-2005.4688556684052,hl,2021 week 12
53,54,net_export,-2089.9345365288946,hl,2021 week 12
54,55,net_export,-2481.3558924967574,hl,2021 week 12
55,56,net_export,-2481.3558924967574,hl,2021 week 12
56,57,net_export,-2481.3558924967574,hl,2021 week 12
57,58,net_export,-2589.7454232768946,hl,2021 week 12
58,59,net_export,-2589.7454232768946,hl,2021 week 12
59,60,net_export,-2362.9664116489053,hl,2021 week 12
60,61,net_export,-2568.2583701781077,hl,2021 week 12
