,hour,tech,dispatch,zone,period
0,1,net_export,-5710.169152610566,ime,2021 week 12
1,2,net_export,-5710.169152610566,ime,2021 week 12
2,3,net_export,-5710.169152610566,ime,2021 week 12
3,4,net_export,-5858.378644434246,ime,2021 week 12
4,5,net_export,-5858.378644434246,ime,2021 week 12
5,6,net_export,-6136.1126598336305,ime,2021 week 12
6,7,net_export,-5617.6084068505925,ime,2021 week 12
7,8,net_export,-5617.6084068505925,ime,2021 week 12
8,9,net_export,-5656.253365620592,ime,2021 week 12
9,10,net_export,-5500.78754054479,ime,2021 week 12
10,11,net_export,-5733.813684541999,ime,2021 week 12
11,12,net_export,-5647.811369411965,ime,2021 week 12
12,13,net_export,-5647.811369411965,ime,2021 week 12
13,14,net_export,-6015.254666731965,ime,2021 week 12
14,15,net_export,-5823.522966462614,ime,2021 week 12
15,16,net_export,-5462.1425817747895,ime,2021 week 12
16,17,net_export,-4731.377842972467,ime,2021 week 12
17,18,net_export,-4144.046721651931,ime,2021 week 12
18,19,net_export,-4812.773775108673,ime,2021 week 12
19,20,net_export,-5335.039701345671,ime,2021 week 12
20,21,net_export,-5632.665571250049,ime,2021 week 12
21,22,net_export,-5617.6084068505925,ime,2021 week 12
22,23,net_export,-5286.43098472414,ime,2021 week 12
23,24,net_export,-5768.66936251363,ime,2021 week 12
24,25,net_export,-5923.458469535,ime,2021 week 12
25,26,net_export,-5923.458469535,ime,2021 week 12
26,27,net_export,-5923.458469535,ime,2021 week 12
27,28,net_export,-5923.458469535,ime,2021 week 12
28,29,net_export,-5923.458469535,ime,2021 week 12
29,30,net_export,-6196.61542546912,ime,2021 week 12
30,31,net_export,-5677.810885745168,ime,2021 week 12
31,32,net_export,-5274.6391871398755,ime,2021 week 12
32,33,net_export,-4560.38630217217,ime,2021 week 12
33,34,net_export,-5558.33177605516,ime,2021 week 12
34,35,net_export,-5786.106922045,ime,2021 week 12
35,36,net_export,-5705.2065941070505,ime,2021 week 12
36,37,net_export,-5705.2065941070505,ime,2021 week 12
37,38,net_export,-6065.513740405049,ime,2021 week 12
38,39,net_export,-5873.257112408879,ime,2021 week 12
39,40,net_export,-5520.677105958161,ime,2021 week 12
40,41,net_export,-5722.536100062928,ime,2021 week 12
41,42,net_export,-5687.413251853765,ime,2021 week 12
42,43,net_export,-4587.953654439488,ime,2021 week 12
43,44,net_export,-4339.194889447647,ime,2021 week 12
44,45,net_export,-4082.4371223187986,ime,2021 week 12
45,46,net_export,-4511.370317040396,ime,2021 week 12
46,47,net_export,-5352.62658765633,ime,2021 week 12
47,48,net_export,-5836.30827917112,ime,2021 week 12
48,49,net_export,-5915.635464970879,ime,2021 week 12
49,50,net_export,-5915.635464970879,ime,2021 week 12
50,51,net_export,-5915.635464970879,ime,2021 week 12
51,52,net_export,-5915.635464970879,ime,2021 week 12
52,53,net_export,-5915.635464970879,ime,2021 week 12
53,54,net_export,-6183.600383785391,ime,2021 week 12
54,55,net_export,-5674.381678811798,ime,2021 week 12
55,56,net_export,-5674.381678811798,ime,2021 week 12
56,57,net_export,-5403.763204625957,ime,2021 week 12
57,58,net_export,-5555.66070840154,ime,2021 week 12
58,59,net_export,-5783.387337371336,ime,2021 week 12
59,60,net_export,-5704.628795299444,ime,2021 week 12
60,61,net_export,-5704.628795299444,ime,2021 week 12
61,62,net_export,-6057.059394974445,ime,2021 week 12
62,63,net_export,-5867.853018231826,ime,2021 week 12
63,64,net_export,-5519.099102056541,ime,2021 week 12
64,65,net_export,-5719.144452997383,ime,2021 week 12
65,66,net_export,-5685.22065301002,ime,2021 week 12
66,67,net_export,-5685.22065301002,ime,2021 week 12
67,68,net_export,-5685.22065301002,ime,2021 week 12
68,69,net_export,-5685.22065301002,ime,2021 week 12
69,70,net_export,-5674.381678811798,ime,2021 week 12
