,hour,tech,dispatch,zone,period
0,1,net_export,-1794.17499647094,jl,2021 week 9
1,2,net_export,-1794.17499647094,jl,2021 week 9
2,3,net_export,-1741.6359598527888,jl,2021 week 9
3,4,net_export,-1549.3702662779401,jl,2021 week 9
4,5,net_export,-1549.3702662779401,jl,2021 week 9
5,6,net_export,-1881.3958853099398,jl,2021 week 9
6,7,net_export,-1986.4758770701199,jl,2021 week 9
7,8,net_export,-1986.4758770701199,jl,2021 week 9
8,9,net_export,-1995.2053810666202,jl,2021 week 9
9,10,net_export,-2037.4730691783302,jl,2021 week 9
10,11,net_export,-2028.7435651818298,jl,2021 week 9
11,12,net_export,-1899.25498823112,jl,2021 week 9
12,13,net_export,-1899.25498823112,jl,2021 week 9
13,14,net_export,-1986.4758770701199,jl,2021 week 9
14,15,net_export,-2028.7435651818298,jl,2021 week 9
15,16,net_export,-2028.7435651818298,jl,2021 week 9
16,17,net_export,-2037.4730691783302,jl,2021 week 9
17,18,net_export,-2313.2169758228792,jl,2021 week 9
18,19,net_export,-2037.4730691783302,jl,2021 week 9
19,20,net_export,-2037.4730691783302,jl,2021 week 9
20,21,net_export,-2037.4730691783302,jl,2021 week 9
21,22,net_export,-1986.4758770701199,jl,2021 week 9
22,23,net_export,-1899.25498823112,jl,2021 week 9
23,24,net_export,-1794.17499647094,jl,2021 week 9
24,25,net_export,-1742.24544206814,jl,2021 week 9
25,26,net_export,-1742.24544206814,jl,2021 week 9
26,27,net_export,-1742.24544206814,jl,2021 week 9
27,28,net_export,-1742.24544206814,jl,2021 week 9
28,29,net_export,-1742.24544206814,jl,2021 week 9
29,30,net_export,-1826.8400556401398,jl,2021 week 9
30,31,net_export,-1925.22966219684,jl,2021 week 9
31,32,net_export,-1925.22966219684,jl,2021 week 9
32,33,net_export,-1933.5946793783403,jl,2021 week 9
33,34,net_export,-1973.4300624425402,jl,2021 week 9
34,35,net_export,-1965.06504526104,jl,2021 week 9
35,36,net_export,-1840.6350486248402,jl,2021 week 9
36,37,net_export,-1560.1136378159727,jl,2021 week 9
37,38,net_export,-1635.2193103167128,jl,2021 week 9
38,39,net_export,-1965.06504526104,jl,2021 week 9
39,40,net_export,-1965.06504526104,jl,2021 week 9
40,41,net_export,-1973.4300624425402,jl,2021 week 9
41,42,net_export,-1973.4300624425402,jl,2021 week 9
42,43,net_export,-1973.4300624425402,jl,2021 week 9
43,44,net_export,-1973.4300624425402,jl,2021 week 9
44,45,net_export,-1973.4300624425402,jl,2021 week 9
45,46,net_export,-1625.34140966584,jl,2021 week 9
46,47,net_export,-1540.7467960938402,jl,2021 week 9
47,48,net_export,-1508.71223445814,jl,2021 week 9
48,49,net_export,-1763.11098608661,jl,2021 week 9
49,50,net_export,-1763.11098608661,jl,2021 week 9
50,51,net_export,-1763.11098608661,jl,2021 week 9
51,52,net_export,-1763.11098608661,jl,2021 week 9
