,hour,tech,dispatch,zone,period
0,1,net_export,-10496.60940280155,ime,2021 week 7
1,2,net_export,-10496.60940280155,ime,2021 week 7
2,3,net_export,-10496.60940280155,ime,2021 week 7
3,4,net_export,-10496.60940280155,ime,2021 week 7
4,5,net_export,-10496.60940280155,ime,2021 week 7
5,6,net_export,-11048.973998237205,ime,2021 week 7
6,7,net_export,-11277.39998958323,ime,2021 week 7
7,8,net_export,-11277.39998958323,ime,2021 week 7
8,9,net_export,-11299.26367737023,ime,2021 week 7
9,10,net_export,-11208.573695135481,ime,2021 week 7
10,11,net_export,-11413.340857812931,ime,2021 week 7
11,12,net_export,-10821.376732977602,ime,2021 week 7
12,13,net_export,-10821.376732977602,ime,2021 week 7
13,14,net_export,-11046.284161578602,ime,2021 week 7
14,15,net_export,-11085.883690978277,ime,2021 week 7
15,16,net_export,-11186.71000734848,ime,2021 week 7
16,17,net_export,-11348.397058194952,ime,2021 week 7
17,18,net_export,-11478.686569829377,ime,2021 week 7
18,19,net_export,-11717.599688249913,ime,2021 week 7
19,20,net_export,-12343.881769349762,ime,2021 week 7
20,21,net_export,-12343.881769349762,ime,2021 week 7
21,22,net_export,-13164.563189053466,ime,2021 week 7
22,23,net_export,-12730.433595432389,ime,2021 week 7
23,24,net_export,-12191.945617922926,ime,2021 week 7
24,25,net_export,-12210.263582986967,ime,2021 week 7
25,26,net_export,-12210.263582986967,ime,2021 week 7
26,27,net_export,-12210.263582986967,ime,2021 week 7
27,28,net_export,-12210.263582986967,ime,2021 week 7
28,29,net_export,-12210.263582986967,ime,2021 week 7
29,30,net_export,-12885.375866297212,ime,2021 week 7
30,31,net_export,-13164.563189053466,ime,2021 week 7
31,32,net_export,-13164.563189053466,ime,2021 week 7
32,33,net_export,-13191.285474126465,ime,2021 week 7
33,34,net_export,-13080.442162506215,ime,2021 week 7
34,35,net_export,-13280.350727897667,ime,2021 week 7
35,36,net_export,-12556.839019765595,ime,2021 week 7
36,37,net_export,-12556.839019765595,ime,2021 week 7
37,38,net_export,-12779.328487646766,ime,2021 week 7
38,39,net_export,-12880.125301766422,ime,2021 week 7
39,40,net_export,-13053.719877433216,ime,2021 week 7
40,41,net_export,-13220.265525565686,ime,2021 week 7
41,42,net_export,-13379.508262007763,ime,2021 week 7
42,43,net_export,-13379.508262007763,ime,2021 week 7
43,44,net_export,-13379.508262007763,ime,2021 week 7
44,45,net_export,-13162.443099957625,ime,2021 week 7
45,46,net_export,-13164.563189053466,ime,2021 week 7
46,47,net_export,-12391.60402454722,ime,2021 week 7
47,48,net_export,-11217.97663177725,ime,2021 week 7
48,49,net_export,-10565.33565769008,ime,2021 week 7
49,50,net_export,-10825.008376880669,ime,2021 week 7
50,51,net_export,-10446.87236364074,ime,2021 week 7
51,52,net_export,-10620.346889560726,ime,2021 week 7
52,53,net_export,-11013.736999118531,ime,2021 week 7
53,54,net_export,-12417.109628821489,ime,2021 week 7
54,55,net_export,-13125.50534200774,ime,2021 week 7
55,56,net_export,-11745.091418522048,ime,2021 week 7
56,57,net_export,-12304.04896786488,ime,2021 week 7
57,58,net_export,-13031.611937909158,ime,2021 week 7
58,59,net_export,-13009.663771676533,ime,2021 week 7
59,60,net_export,-11557.341688918747,ime,2021 week 7
60,61,net_export,-11384.960790151647,ime,2021 week 7
61,62,net_export,-11648.135011699647,ime,2021 week 7
62,63,net_export,-11700.208380705524,ime,2021 week 7
63,64,net_export,-12998.39942298016,ime,2021 week 7
64,65,net_export,-11262.928075649954,ime,2021 week 7
65,66,net_export,-11409.529311313694,ime,2021 week 7
