,hour,tech,dispatch,zone,period
0,1,net_export,-1e-10,jl,2021 week 7
1,2,net_export,-1e-10,jl,2021 week 7
2,3,net_export,-1e-10,jl,2021 week 7
3,4,net_export,-1e-10,jl,2021 week 7
4,5,net_export,-1e-10,jl,2021 week 7
5,6,net_export,-1e-10,jl,2021 week 7
6,7,net_export,-1e-10,jl,2021 week 7
7,8,net_export,-1e-10,jl,2021 week 7
8,9,net_export,-1e-10,jl,2021 week 7
9,10,net_export,-1e-10,jl,2021 week 7
10,11,net_export,-1e-10,jl,2021 week 7
11,12,net_export,-1e-10,jl,2021 week 7
12,13,net_export,-1e-10,jl,2021 week 7
13,14,net_export,-1e-10,jl,2021 week 7
14,15,net_export,-1e-10,jl,2021 week 7
15,16,net_export,-1e-10,jl,2021 week 7
16,17,net_export,-1e-10,jl,2021 week 7
17,18,net_export,-1e-10,jl,2021 week 7
18,19,net_export,-1e-10,jl,2021 week 7
19,20,net_export,-1e-10,jl,2021 week 7
20,21,net_export,-1e-10,jl,2021 week 7
21,22,net_export,-1e-10,jl,2021 week 7
22,23,net_export,-1e-10,jl,2021 week 7
23,24,net_export,-1e-10,jl,2021 week 7
24,25,net_export,-1e-10,jl,2021 week 7
25,26,net_export,-1e-10,jl,2021 week 7
26,27,net_export,-1e-10,jl,2021 week 7
27,28,net_export,-1e-10,jl,2021 week 7
28,29,net_export,-1e-10,jl,2021 week 7
29,30,net_export,-1e-10,jl,2021 week 7
30,31,net_export,-1e-10,jl,2021 week 7
31,32,net_export,-1e-10,jl,2021 week 7
32,33,net_export,-1e-10,jl,2021 week 7
33,34,net_export,-1e-10,jl,2021 week 7
34,35,net_export,-1e-10,jl,2021 week 7
35,36,net_export,-1e-10,jl,2021 week 7
36,37,net_export,-1e-10,jl,2021 week 7
37,38,net_export,-1e-10,jl,2021 week 7
38,39,net_export,-1e-10,jl,2021 week 7
39,40,net_export,-1e-10,jl,2021 week 7
40,41,net_export,-1e-10,jl,2021 week 7
41,42,net_export,-1e-10,jl,2021 week 7
42,43,net_export,-1e-10,jl,2021 week 7
43,44,net_export,-1e-10,jl,2021 week 7
44,45,net_export,-1e-10,jl,2021 week 7
45,46,net_export,-1e-10,jl,2021 week 7
46,47,net_export,-1e-10,jl,2021 week 7
47,48,net_export,-1e-10,jl,2021 week 7
48,49,net_export,-1e-10,jl,2021 week 7
49,50,net_export,-1e-10,jl,2021 week 7
50,51,net_export,-1e-10,jl,2021 week 7
51,52,net_export,-1e-10,jl,2021 week 7
52,53,net_export,-1e-10,jl,2021 week 7
53,54,net_export,-1e-10,jl,2021 week 7
54,55,net_export,-1e-10,jl,2021 week 7
55,56,net_export,-1e-10,jl,2021 week 7
56,57,net_export,-1e-10,jl,2021 week 7
57,58,net_export,-1e-10,jl,2021 week 7
58,59,net_export,-1e-10,jl,2021 week 7
59,60,net_export,-1e-10,jl,2021 week 7
60,61,net_export,-1e-10,jl,2021 week 7
61,62,net_export,-1e-10,jl,2021 week 7
62,63,net_export,-1e-10,jl,2021 week 7
63,64,net_export,-1e-10,jl,2021 week 7
64,65,net_export,-1e-10,jl,2021 week 7
65,66,net_export,-1e-10,jl,2021 week 7
66,67,net_export,-1e-10,jl,2021 week 7
67,68,net_export,-1e-10,jl,2021 week 7
68,69,net_export,-1e-10,jl,2021 week 7
69,70,net_export,-1e-10,jl,2021 week 7
70,71,net_export,-1e-10,jl,2021 week 7
71,72,net_export,-1e-10,jl,2021 week 7
72,73,net_export,-1e-10,jl,2021 week 7
73,74,net_export,-1e-10,jl,2021 week 7
74,75,net_export,-1e-10,jl,2021 week 7
75,76,net_export,-1e-10,jl,2021 week 7
76,77,net_export,-1e-10,jl,2021 week 7
77,78,net_export,-1e-10,jl,2021 week 7
78,79,net_export,-1e-10,jl,2021 week 7
79,80,net_export,-1e-10,jl,2021 week 7
80,81,net_export,-1e-10,jl,2021 week 7
81,82,net_export,-1e-10,jl,2021 week 7
82,83,net_export,-1e-10,jl,2021 week 7
83,84,net_export,-1e-10,jl,2021 week 7
84,85,net_export,-1e-10,jl,2021 week 7
85,86,net_export,-1e-10,jl,2021 week 7
86,87,net_export,-1e-10,jl,2021 week 7
87,88,net_export,-1e-10,jl,2021 week 7
88,89,net_export,-1e-10,jl,2021 week 7
89,90,net_export,-1e-10,jl,2021 week 7
90,91,net_export,-1e-10,jl,2021 week 7
91,92,net_export,-1e-10,jl,2021 week 7
92,93,net_export,-1e-10,jl,2021 week 7
93,94,net_export,-1e-10,jl,2021 week 7
94,95,net_export,-1e-10,jl,2021 week 7
95,96,net_export,-1e-10,jl,2021 week 7
96,97,net_export,-1e-10,jl,2021 week 7
97,98,net_export,-1e-10,jl,2021 week 7
98,99,net_export,-1e-10,jl,2021 week 7
99,100,net_export,-1e-10,jl,2021 week 7
100,101,net_export,-1e-10,jl,2021 week 7
101,102,net_export,-1e-10,jl,2021 week 7
102,103,net_export,-1e-10,jl,2021 week 7
103,104,net_export,-1e-10,jl,2021 week 7
104,105,net_export,-1e-10,jl,2021 week 7
105,106,net_export,-1e-10,jl,2021 week 7
106,107,net_export,-1e-10,jl,2021 week 7
107,108,net_export,-1e-10,jl,2021 week 7
108,109,net_export,-1e-10,jl,2021 week 7
109,110,net_export,-1e-10,jl,2021 week 7
110,111,net_export,-1e-10,jl,2021 week 7
111,112,net_export,-1e-10,jl,2021 week 7
112,113,net_export,-1e-10,jl,2021 week 7
113,114,net_export,-1e-10,jl,2021 week 7
114,115,net_export,-1e-10,jl,2021 week 7
115,116,net_export,-1e-10,jl,2021 week 7
116,117,net_export,-1e-10,jl,2021 week 7
117,118,net_export,-1e-10,jl,2021 week 7
118,119,net_export,-1e-10,jl,2021 week 7
119,120,net_export,-1e-10,jl,2021 week 7
120,121,net_export,-1e-10,jl,2021 week 7
121,122,net_export,-1e-10,jl,2021 week 7
122,123,net_export,-1e-10,jl,2021 week 7
123,124,net_export,-1e-10,jl,2021 week 7
124,125,net_export,-1e-10,jl,2021 week 7
125,126,net_export,-144.480754937141,jl,2021 week 7
126,127,net_export,-1e-10,jl,2021 week 7
127,128,net_export,-1e-10,jl,2021 week 7
128,129,net_export,-1e-10,jl,2021 week 7
129,130,net_export,-1e-10,jl,2021 week 7
130,131,net_export,-1e-10,jl,2021 week 7
131,132,net_export,-1e-10,jl,2021 week 7
132,133,net_export,-1e-10,jl,2021 week 7
133,134,net_export,-1e-10,jl,2021 week 7
134,135,net_export,-1e-10,jl,2021 week 7
135,136,net_export,-1e-10,jl,2021 week 7
136,137,net_export,-1e-10,jl,2021 week 7
137,138,net_export,-1e-10,jl,2021 week 7
138,139,net_export,-1e-10,jl,2021 week 7
139,140,net_export,-1e-10,jl,2021 week 7
140,141,net_export,-1e-10,jl,2021 week 7
141,142,net_export,-1e-10,jl,2021 week 7
142,143,net_export,-1e-10,jl,2021 week 7
143,144,net_export,-1e-10,jl,2021 week 7
144,145,net_export,-1e-10,jl,2021 week 7
145,146,net_export,-1e-10,jl,2021 week 7
146,147,net_export,-1e-10,jl,2021 week 7
147,148,net_export,-1e-10,jl,2021 week 7
148,149,net_export,-1e-10,jl,2021 week 7
149,150,net_export,-1e-10,jl,2021 week 7
150,151,net_export,-1e-10,jl,2021 week 7
151,152,net_export,-1e-10,jl,2021 week 7
152,153,net_export,-1e-10,jl,2021 week 7
153,154,net_export,-1e-10,jl,2021 week 7
154,155,net_export,-1e-10,jl,2021 week 7
155,156,net_export,-1e-10,jl,2021 week 7
156,157,net_export,-1e-10,jl,2021 week 7
157,158,net_export,-1e-10,jl,2021 week 7
158,159,net_export,-1e-10,jl,2021 week 7
159,160,net_export,-1e-10,jl,2021 week 7
160,161,net_export,-1e-10,jl,2021 week 7
161,162,net_export,-1e-10,jl,2021 week 7
162,163,net_export,-1e-10,jl,2021 week 7
163,164,net_export,-1e-10,jl,2021 week 7
164,165,net_export,-1e-10,jl,2021 week 7
165,166,net_export,-1e-10,jl,2021 week 7
166,167,net_export,-1e-10,jl,2021 week 7
167,168,net_export,-1e-10,jl,2021 week 7
168,1,charge,-1e-10,jl,2021 week 7
169,2,charge,-1e-10,jl,2021 week 7
170,3,charge,-1e-10,jl,2021 week 7
171,4,charge,-1e-10,jl,2021 week 7
172,5,charge,-1e-10,jl,2021 week 7
173,6,charge,-1e-10,jl,2021 week 7
174,7,charge,-1e-10,jl,2021 week 7
175,8,charge,-1e-10,jl,2021 week 7
176,9,charge,-1e-10,jl,2021 week 7
177,10,charge,-1e-10,jl,2021 week 7
178,11,charge,-1e-10,jl,2021 week 7
179,12,charge,-1e-10,jl,2021 week 7
180,13,charge,-1e-10,jl,2021 week 7
181,14,charge,-1e-10,jl,2021 week 7
182,15,charge,-1e-10,jl,2021 week 7
183,16,charge,-1e-10,jl,2021 week 7
184,17,charge,-1e-10,jl,2021 week 7
185,18,charge,-1e-10,jl,2021 week 7
186,19,charge,-1e-10,jl,2021 week 7
187,20,charge,-1e-10,jl,2021 week 7
188,21,charge,-1e-10,jl,2021 week 7
189,22,charge,-1e-10,jl,2021 week 7
190,23,charge,-1e-10,jl,2021 week 7
191,24,charge,-1e-10,jl,2021 week 7
192,25,charge,-1e-10,jl,2021 week 7
