Week,Zone 1 Max NSE MW,Zone 2 Max NSE MW,Zone 3 Max NSE MW,Zone 4 Max NSE MW,Zone 5 Max NSE MW,Zone 6 Max NSE MW
1,0.0,4236.78884973815,0.0,230.20444788147597,0.0,0.0
2,462.96514441202305,2734.076071510233,0.0,179.96203362601216,0.0,0.0
3,0.0,1998.9692723870312,0.0,0.0,0.0,0.0
4,299.7324381988955,5715.727688315832,0.0,998.2065511766482,0.0,0.0
5,0.0,6544.750339384811,0.0,1535.3480305323314,0.0,0.0
6,0.0,6439.924321884475,15.981516436500442,1734.009865827045,0.0,0.0
7,1163.8880221688264,5364.168709867596,0.0,1272.0211869052312,0.0,0.0
8,3453.4912983999984,5341.810940068191,0.0,0.0,0.0,0.0
9,5381.52596879,0.0,0.0,0.0,0.0,0.0
10,1375.5547885000015,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,586.089134419999,0.0,0.0,0.0,0.0,0.0
