,hour,tech,dispatch,zone,period
0,1,net_export,-1e-10,hl,2021 week 3
1,2,net_export,-1e-10,hl,2021 week 3
2,3,net_export,-1e-10,hl,2021 week 3
3,4,net_export,-1e-10,hl,2021 week 3
4,5,net_export,-1e-10,hl,2021 week 3
5,6,net_export,-1e-10,hl,2021 week 3
6,7,net_export,-1e-10,hl,2021 week 3
7,8,net_export,-1e-10,hl,2021 week 3
8,9,net_export,-1e-10,hl,2021 week 3
9,10,net_export,-1e-10,hl,2021 week 3
10,11,net_export,-1e-10,hl,2021 week 3
11,12,net_export,-1e-10,hl,2021 week 3
12,13,net_export,-1e-10,hl,2021 week 3
13,14,net_export,-1e-10,hl,2021 week 3
14,15,net_export,-1e-10,hl,2021 week 3
15,16,net_export,-1e-10,hl,2021 week 3
16,17,net_export,-1e-10,hl,2021 week 3
17,18,net_export,-1e-10,hl,2021 week 3
18,19,net_export,-1e-10,hl,2021 week 3
19,20,net_export,-1e-10,hl,2021 week 3
20,21,net_export,-1e-10,hl,2021 week 3
21,22,net_export,-1e-10,hl,2021 week 3
22,23,net_export,-1e-10,hl,2021 week 3
23,24,net_export,-1e-10,hl,2021 week 3
24,25,net_export,-1e-10,hl,2021 week 3
25,26,net_export,-1e-10,hl,2021 week 3
26,27,net_export,-1e-10,hl,2021 week 3
27,28,net_export,-1e-10,hl,2021 week 3
28,29,net_export,-1e-10,hl,2021 week 3
29,30,net_export,-1e-10,hl,2021 week 3
30,31,net_export,-1e-10,hl,2021 week 3
31,32,net_export,-1e-10,hl,2021 week 3
32,33,net_export,-1e-10,hl,2021 week 3
33,34,net_export,-1e-10,hl,2021 week 3
34,35,net_export,-1e-10,hl,2021 week 3
35,36,net_export,-1e-10,hl,2021 week 3
36,37,net_export,-1e-10,hl,2021 week 3
37,38,net_export,-1e-10,hl,2021 week 3
38,39,net_export,-1e-10,hl,2021 week 3
39,40,net_export,-1e-10,hl,2021 week 3
40,41,net_export,-1e-10,hl,2021 week 3
41,42,net_export,-1e-10,hl,2021 week 3
42,43,net_export,-1e-10,hl,2021 week 3
43,44,net_export,-1e-10,hl,2021 week 3
44,45,net_export,-1e-10,hl,2021 week 3
45,46,net_export,-1e-10,hl,2021 week 3
46,47,net_export,-1e-10,hl,2021 week 3
47,48,net_export,-1e-10,hl,2021 week 3
48,49,net_export,-1e-10,hl,2021 week 3
49,50,net_export,-1e-10,hl,2021 week 3
50,51,net_export,-1e-10,hl,2021 week 3
51,52,net_export,-1e-10,hl,2021 week 3
52,53,net_export,-1e-10,hl,2021 week 3
53,54,net_export,-1e-10,hl,2021 week 3
54,55,net_export,-1e-10,hl,2021 week 3
55,56,net_export,-1e-10,hl,2021 week 3
56,57,net_export,-1e-10,hl,2021 week 3
57,58,net_export,-1e-10,hl,2021 week 3
58,59,net_export,-1e-10,hl,2021 week 3
59,60,net_export,-1e-10,hl,2021 week 3
60,61,net_export,-1e-10,hl,2021 week 3
61,62,net_export,-1e-10,hl,2021 week 3
62,63,net_export,-1e-10,hl,2021 week 3
63,64,net_export,-1e-10,hl,2021 week 3
64,65,net_export,-1e-10,hl,2021 week 3
65,66,net_export,-1e-10,hl,2021 week 3
66,67,net_export,-1e-10,hl,2021 week 3
67,68,net_export,-1e-10,hl,2021 week 3
68,69,net_export,-1e-10,hl,2021 week 3
69,70,net_export,-1e-10,hl,2021 week 3
70,71,net_export,-1e-10,hl,2021 week 3
71,72,net_export,-1e-10,hl,2021 week 3
72,73,net_export,-1e-10,hl,2021 week 3
73,74,net_export,-1e-10,hl,2021 week 3
74,75,net_export,-1e-10,hl,2021 week 3
75,76,net_export,-1e-10,hl,2021 week 3
76,77,net_export,-1e-10,hl,2021 week 3
77,78,net_export,-1e-10,hl,2021 week 3
78,79,net_export,-1e-10,hl,2021 week 3
79,80,net_export,-1e-10,hl,2021 week 3
80,81,net_export,-1e-10,hl,2021 week 3
81,82,net_export,-1e-10,hl,2021 week 3
82,83,net_export,-1e-10,hl,2021 week 3
83,84,net_export,-1e-10,hl,2021 week 3
84,85,net_export,-1e-10,hl,2021 week 3
85,86,net_export,-1e-10,hl,2021 week 3
86,87,net_export,-1e-10,hl,2021 week 3
87,88,net_export,-1e-10,hl,2021 week 3
88,89,net_export,-1e-10,hl,2021 week 3
89,90,net_export,-1e-10,hl,2021 week 3
90,91,net_export,-1e-10,hl,2021 week 3
91,92,net_export,-1e-10,hl,2021 week 3
92,93,net_export,-1e-10,hl,2021 week 3
93,94,net_export,-1e-10,hl,2021 week 3
94,95,net_export,-1e-10,hl,2021 week 3
95,96,net_export,-1e-10,hl,2021 week 3
96,97,net_export,-1e-10,hl,2021 week 3
97,98,net_export,-1e-10,hl,2021 week 3
98,99,net_export,-1e-10,hl,2021 week 3
99,100,net_export,-1e-10,hl,2021 week 3
100,101,net_export,-1e-10,hl,2021 week 3
101,102,net_export,-1e-10,hl,2021 week 3
102,103,net_export,-1e-10,hl,2021 week 3
103,104,net_export,-1e-10,hl,2021 week 3
104,105,net_export,-1e-10,hl,2021 week 3
105,106,net_export,-1e-10,hl,2021 week 3
106,107,net_export,-1e-10,hl,2021 week 3
107,108,net_export,-1e-10,hl,2021 week 3
108,109,net_export,-1e-10,hl,2021 week 3
109,110,net_export,-1e-10,hl,2021 week 3
110,111,net_export,-1e-10,hl,2021 week 3
111,112,net_export,-1e-10,hl,2021 week 3
112,113,net_export,-1e-10,hl,2021 week 3
113,114,net_export,-1e-10,hl,2021 week 3
114,115,net_export,-1e-10,hl,2021 week 3
115,116,net_export,-1e-10,hl,2021 week 3
116,117,net_export,-1e-10,hl,2021 week 3
117,118,net_export,-1e-10,hl,2021 week 3
118,119,net_export,-1e-10,hl,2021 week 3
119,120,net_export,-1e-10,hl,2021 week 3
120,121,net_export,-1e-10,hl,2021 week 3
121,122,net_export,-1e-10,hl,2021 week 3
122,123,net_export,-1e-10,hl,2021 week 3
123,124,net_export,-1e-10,hl,2021 week 3
124,125,net_export,-1e-10,hl,2021 week 3
125,126,net_export,-1e-10,hl,2021 week 3
126,127,net_export,-1e-10,hl,2021 week 3
127,128,net_export,-1e-10,hl,2021 week 3
128,129,net_export,-1e-10,hl,2021 week 3
129,130,net_export,-1e-10,hl,2021 week 3
130,131,net_export,-1e-10,hl,2021 week 3
131,132,net_export,-1e-10,hl,2021 week 3
132,133,net_export,-1e-10,hl,2021 week 3
133,134,net_export,-1e-10,hl,2021 week 3
134,135,net_export,-1e-10,hl,2021 week 3
135,136,net_export,-1e-10,hl,2021 week 3
136,137,net_export,-1e-10,hl,2021 week 3
137,138,net_export,-1e-10,hl,2021 week 3
138,139,net_export,-1e-10,hl,2021 week 3
139,140,net_export,-1e-10,hl,2021 week 3
140,141,net_export,-1e-10,hl,2021 week 3
141,142,net_export,-1e-10,hl,2021 week 3
142,143,net_export,-1e-10,hl,2021 week 3
143,144,net_export,-1e-10,hl,2021 week 3
144,145,net_export,-1e-10,hl,2021 week 3
145,146,net_export,-1e-10,hl,2021 week 3
146,147,net_export,-1e-10,hl,2021 week 3
147,148,net_export,-1e-10,hl,2021 week 3
148,149,net_export,-1e-10,hl,2021 week 3
149,150,net_export,-1e-10,hl,2021 week 3
150,151,net_export,-1e-10,hl,2021 week 3
151,152,net_export,-1e-10,hl,2021 week 3
152,153,net_export,-1e-10,hl,2021 week 3
153,154,net_export,-1e-10,hl,2021 week 3
154,155,net_export,-1e-10,hl,2021 week 3
155,156,net_export,-1e-10,hl,2021 week 3
156,157,net_export,-1e-10,hl,2021 week 3
157,158,net_export,-1e-10,hl,2021 week 3
158,159,net_export,-1e-10,hl,2021 week 3
159,160,net_export,-1e-10,hl,2021 week 3
160,161,net_export,-1e-10,hl,2021 week 3
161,162,net_export,-1e-10,hl,2021 week 3
162,163,net_export,-1e-10,hl,2021 week 3
163,164,net_export,-1e-10,hl,2021 week 3
164,165,net_export,-1e-10,hl,2021 week 3
165,166,net_export,-1e-10,hl,2021 week 3
166,167,net_export,-1e-10,hl,2021 week 3
167,168,net_export,-1e-10,hl,2021 week 3
168,1,charge,-1e-10,hl,2021 week 3
169,2,charge,-1e-10,hl,2021 week 3
170,3,charge,-1e-10,hl,2021 week 3
171,4,charge,-1e-10,hl,2021 week 3
172,5,charge,-1e-10,hl,2021 week 3
173,6,charge,-1e-10,hl,2021 week 3
174,7,charge,-1e-10,hl,2021 week 3
175,8,charge,-1e-10,hl,2021 week 3
176,9,charge,-1e-10,hl,2021 week 3
177,10,charge,-1e-10,hl,2021 week 3
178,11,charge,-1e-10,hl,2021 week 3
179,12,charge,-1e-10,hl,2021 week 3
180,13,charge,-1e-10,hl,2021 week 3
181,14,charge,-1e-10,hl,2021 week 3
182,15,charge,-1e-10,hl,2021 week 3
183,16,charge,-1e-10,hl,2021 week 3
184,17,charge,-1e-10,hl,2021 week 3
185,18,charge,-1e-10,hl,2021 week 3
186,19,charge,-1e-10,hl,2021 week 3
187,20,charge,-1e-10,hl,2021 week 3
188,21,charge,-1e-10,hl,2021 week 3
189,22,charge,-1e-10,hl,2021 week 3
190,23,charge,-1e-10,hl,2021 week 3
191,24,charge,-1e-10,hl,2021 week 3
192,25,charge,-1e-10,hl,2021 week 3
193,26,charge,-1e-10,hl,2021 week 3
194,27,charge,-1e-10,hl,2021 week 3
195,28,charge,-1e-10,hl,2021 week 3
196,29,charge,-1e-10,hl,2021 week 3
197,30,charge,-1e-10,hl,2021 week 3
198,31,charge,-1e-10,hl,2021 week 3
199,32,charge,-1e-10,hl,2021 week 3
200,33,charge,-1e-10,hl,2021 week 3
201,34,charge,-1e-10,hl,2021 week 3
202,35,charge,-1e-10,hl,2021 week 3
203,36,charge,-1e-10,hl,2021 week 3
204,37,charge,-1e-10,hl,2021 week 3
205,38,charge,-1e-10,hl,2021 week 3
206,39,charge,-1e-10,hl,2021 week 3
207,40,charge,-1e-10,hl,2021 week 3
208,41,charge,-1e-10,hl,2021 week 3
209,42,charge,-1e-10,hl,2021 week 3
210,43,charge,-1e-10,hl,2021 week 3
211,44,charge,-1e-10,hl,2021 week 3
212,45,charge,-1e-10,hl,2021 week 3
213,46,charge,-1e-10,hl,2021 week 3
214,47,charge,-1e-10,hl,2021 week 3
215,48,charge,-1e-10,hl,2021 week 3
216,49,charge,-1e-10,hl,2021 week 3
217,50,charge,-1e-10,hl,2021 week 3
218,51,charge,-1e-10,hl,2021 week 3
219,52,charge,-1e-10,hl,2021 week 3
220,53,charge,-1e-10,hl,2021 week 3
221,54,charge,-1e-10,hl,2021 week 3
222,55,charge,-1e-10,hl,2021 week 3
223,56,charge,-1e-10,hl,2021 week 3
224,57,charge,-1e-10,hl,2021 week 3
225,58,charge,-1e-10,hl,2021 week 3
226,59,charge,-1e-10,hl,2021 week 3
227,60,charge,-1e-10,hl,2021 week 3
228,61,charge,-1e-10,hl,2021 week 3
229,62,charge,-1e-10,hl,2021 week 3
230,63,charge,-1e-10,hl,2021 week 3
231,64,charge,-1e-10,hl,2021 week 3
232,65,charge,-1e-10,hl,2021 week 3
233,66,charge,-1e-10,hl,2021 week 3
234,67,charge,-1e-10,hl,2021 week 3
235,68,charge,-1e-10,hl,2021 week 3
236,69,charge,-1e-10,hl,2021 week 3
237,70,charge,-1e-10,hl,2021 week 3
238,71,charge,-1e-10,hl,2021 week 3
239,72,charge,-1e-10,hl,2021 week 3
240,73,charge,-1e-10,hl,2021 week 3
241,74,charge,-1e-10,hl,2021 week 3
242,75,charge,-1e-10,hl,2021 week 3
243,76,charge,-1e-10,hl,2021 week 3
244,77,charge,-1e-10,hl,2021 week 3
245,78,charge,-1e-10,hl,2021 week 3
246,79,charge,-1e-10,hl,2021 week 3
247,80,charge,-1e-10,hl,2021 week 3
