,hour,tech,dispatch,zone,period
0,1,net_export,-14553.876891477888,ime,2021 week 6
1,2,net_export,-18916.353824397833,ime,2021 week 6
2,3,net_export,-18061.629455655413,ime,2021 week 6
3,4,net_export,-17660.252933058044,ime,2021 week 6
4,5,net_export,-16380.507250369674,ime,2021 week 6
5,6,net_export,-17299.57074622203,ime,2021 week 6
6,7,net_export,-19620.628576950578,ime,2021 week 6
7,8,net_export,-18424.657964566104,ime,2021 week 6
8,9,net_export,-19284.29684694532,ime,2021 week 6
9,10,net_export,-18491.635165526073,ime,2021 week 6
10,11,net_export,-16326.017974574328,ime,2021 week 6
11,12,net_export,-15878.667784877329,ime,2021 week 6
12,13,net_export,-15100.877631686742,ime,2021 week 6
13,14,net_export,-14538.7317036709,ime,2021 week 6
14,15,net_export,-13471.48996217127,ime,2021 week 6
15,16,net_export,-11653.722109424627,ime,2021 week 6
16,17,net_export,-8933.27850857959,ime,2021 week 6
17,18,net_export,-6648.509978207269,ime,2021 week 6
18,19,net_export,-6112.942338379664,ime,2021 week 6
19,20,net_export,-5623.431668088165,ime,2021 week 6
20,21,net_export,-5885.73506199119,ime,2021 week 6
21,22,net_export,-6530.17026274912,ime,2021 week 6
22,23,net_export,-7571.096817663997,ime,2021 week 6
23,24,net_export,-8888.100554939087,ime,2021 week 6
24,25,net_export,-9931.197153053281,ime,2021 week 6
25,26,net_export,-10817.351828558361,ime,2021 week 6
26,27,net_export,-11746.081035292864,ime,2021 week 6
27,28,net_export,-11763.967488232076,ime,2021 week 6
28,29,net_export,-11121.401354509882,ime,2021 week 6
29,30,net_export,-9712.81080334148,ime,2021 week 6
30,31,net_export,-8894.122897641979,ime,2021 week 6
31,32,net_export,-7643.904333393866,ime,2021 week 6
32,33,net_export,-6315.9036336632835,ime,2021 week 6
33,34,net_export,-6237.3640265574995,ime,2021 week 6
34,35,net_export,-5749.149297912786,ime,2021 week 6
35,36,net_export,-7064.149764087038,ime,2021 week 6
36,37,net_export,-7274.7148768808975,ime,2021 week 6
37,38,net_export,-6732.065494901462,ime,2021 week 6
38,39,net_export,-6378.284856537897,ime,2021 week 6
39,40,net_export,-5766.223835537558,ime,2021 week 6
40,41,net_export,-5646.436992345034,ime,2021 week 6
41,42,net_export,-7283.979804829218,ime,2021 week 6
42,43,net_export,-10553.791773717669,ime,2021 week 6
43,44,net_export,-10310.225723636167,ime,2021 week 6
44,45,net_export,-9417.049571291169,ime,2021 week 6
45,46,net_export,-9144.45149033348,ime,2021 week 6
46,47,net_export,-9084.552248059246,ime,2021 week 6
47,48,net_export,-9019.014752301326,ime,2021 week 6
48,49,net_export,-8938.1203876853,ime,2021 week 6
49,50,net_export,-8664.061367263996,ime,2021 week 6
50,51,net_export,-8432.371113425577,ime,2021 week 6
51,52,net_export,-8271.18031264394,ime,2021 week 6
52,53,net_export,-8254.118805026672,ime,2021 week 6
53,54,net_export,-7313.435063845434,ime,2021 week 6
54,55,net_export,-6828.910038800574,ime,2021 week 6
55,56,net_export,-7413.101858862733,ime,2021 week 6
