,hour,tech,dispatch,zone,period
0,1,net_export,-1e-10,jl,2021 week 2
1,2,net_export,-1e-10,jl,2021 week 2
2,3,net_export,-1e-10,jl,2021 week 2
3,4,net_export,-1e-10,jl,2021 week 2
4,5,net_export,-1e-10,jl,2021 week 2
5,6,net_export,-1e-10,jl,2021 week 2
6,7,net_export,-1e-10,jl,2021 week 2
7,8,net_export,-1e-10,jl,2021 week 2
8,9,net_export,-1e-10,jl,2021 week 2
9,10,net_export,-1e-10,jl,2021 week 2
10,11,net_export,-1e-10,jl,2021 week 2
11,12,net_export,-1e-10,jl,2021 week 2
12,13,net_export,-1e-10,jl,2021 week 2
13,14,net_export,-1e-10,jl,2021 week 2
14,15,net_export,-1e-10,jl,2021 week 2
15,16,net_export,-1e-10,jl,2021 week 2
16,17,net_export,-1e-10,jl,2021 week 2
17,18,net_export,-1e-10,jl,2021 week 2
18,19,net_export,-1e-10,jl,2021 week 2
19,20,net_export,-1e-10,jl,2021 week 2
20,21,net_export,-1e-10,jl,2021 week 2
21,22,net_export,-1e-10,jl,2021 week 2
22,23,net_export,-1e-10,jl,2021 week 2
23,24,net_export,-1e-10,jl,2021 week 2
24,25,net_export,-1e-10,jl,2021 week 2
25,26,net_export,-1e-10,jl,2021 week 2
26,27,net_export,-1e-10,jl,2021 week 2
27,28,net_export,-1e-10,jl,2021 week 2
28,29,net_export,-1e-10,jl,2021 week 2
29,30,net_export,-1e-10,jl,2021 week 2
30,31,net_export,-1e-10,jl,2021 week 2
31,32,net_export,-1e-10,jl,2021 week 2
32,33,net_export,-1e-10,jl,2021 week 2
33,34,net_export,-1e-10,jl,2021 week 2
34,35,net_export,-1e-10,jl,2021 week 2
35,36,net_export,-1e-10,jl,2021 week 2
36,37,net_export,-1e-10,jl,2021 week 2
37,38,net_export,-1e-10,jl,2021 week 2
38,39,net_export,-1e-10,jl,2021 week 2
39,40,net_export,-1e-10,jl,2021 week 2
40,41,net_export,-1e-10,jl,2021 week 2
41,42,net_export,-1e-10,jl,2021 week 2
42,43,net_export,-1e-10,jl,2021 week 2
43,44,net_export,-1e-10,jl,2021 week 2
44,45,net_export,-1e-10,jl,2021 week 2
45,46,net_export,-1e-10,jl,2021 week 2
46,47,net_export,-219.22073778087943,jl,2021 week 2
47,48,net_export,-448.7938673933065,jl,2021 week 2
48,49,net_export,-1e-10,jl,2021 week 2
49,50,net_export,-1e-10,jl,2021 week 2
50,51,net_export,-1e-10,jl,2021 week 2
51,52,net_export,-1e-10,jl,2021 week 2
52,53,net_export,-1e-10,jl,2021 week 2
53,54,net_export,-650.3089466869401,jl,2021 week 2
54,55,net_export,-2965.334855701053,jl,2021 week 2
55,56,net_export,-1999.6280637276097,jl,2021 week 2
56,57,net_export,-1643.8540653643072,jl,2021 week 2
57,58,net_export,-3200.078840403038,jl,2021 week 2
58,59,net_export,-2086.723491436083,jl,2021 week 2
59,60,net_export,-854.5984754891095,jl,2021 week 2
60,61,net_export,-1e-10,jl,2021 week 2
61,62,net_export,-398.629797041077,jl,2021 week 2
62,63,net_export,-934.5984652788742,jl,2021 week 2
63,64,net_export,-461.75918024494575,jl,2021 week 2
64,65,net_export,-2685.224530425408,jl,2021 week 2
65,66,net_export,-1069.9128480196505,jl,2021 week 2
66,67,net_export,-84.66452738483576,jl,2021 week 2
67,68,net_export,-1e-10,jl,2021 week 2
68,69,net_export,-1e-10,jl,2021 week 2
69,70,net_export,-2128.3996270150774,jl,2021 week 2
70,71,net_export,-338.03744247717566,jl,2021 week 2
71,72,net_export,-770.6835165634604,jl,2021 week 2
72,73,net_export,-404.5509263199995,jl,2021 week 2
73,74,net_export,-397.5670798099995,jl,2021 week 2
74,75,net_export,-113.54590171661563,jl,2021 week 2
75,76,net_export,-1e-10,jl,2021 week 2
76,77,net_export,-1e-10,jl,2021 week 2
77,78,net_export,-649.7008725421092,jl,2021 week 2
78,79,net_export,-1656.9305523158002,jl,2021 week 2
79,80,net_export,-1e-10,jl,2021 week 2
80,81,net_export,-1e-10,jl,2021 week 2
81,82,net_export,-1e-10,jl,2021 week 2
82,83,net_export,-1e-10,jl,2021 week 2
83,84,net_export,-1e-10,jl,2021 week 2
84,85,net_export,-1e-10,jl,2021 week 2
85,86,net_export,-1e-10,jl,2021 week 2
86,87,net_export,-1e-10,jl,2021 week 2
87,88,net_export,-1e-10,jl,2021 week 2
88,89,net_export,-1e-10,jl,2021 week 2
89,90,net_export,-427.5597047897752,jl,2021 week 2
90,91,net_export,-1e-10,jl,2021 week 2
91,92,net_export,-932.341504450412,jl,2021 week 2
92,93,net_export,-1e-10,jl,2021 week 2
93,94,net_export,-1e-10,jl,2021 week 2
94,95,net_export,-1e-10,jl,2021 week 2
95,96,net_export,-1e-10,jl,2021 week 2
96,97,net_export,-1e-10,jl,2021 week 2
97,98,net_export,-254.48458158505156,jl,2021 week 2
98,99,net_export,-65.88288705500673,jl,2021 week 2
99,100,net_export,-481.77307621024033,jl,2021 week 2
100,101,net_export,-113.79956499958328,jl,2021 week 2
101,102,net_export,-788.910751218118,jl,2021 week 2
102,103,net_export,-3217.79106625344,jl,2021 week 2
103,104,net_export,-1e-10,jl,2021 week 2
104,105,net_export,-158.6231828270461,jl,2021 week 2
105,106,net_export,-1411.8484135559443,jl,2021 week 2
106,107,net_export,-2232.922807926647,jl,2021 week 2
107,108,net_export,-966.82616431,jl,2021 week 2
108,109,net_export,-1088.9664901606036,jl,2021 week 2
109,110,net_export,-943.2586401671642,jl,2021 week 2
110,111,net_export,-1771.446313230905,jl,2021 week 2
111,112,net_export,-1085.874928959279,jl,2021 week 2
112,113,net_export,-2380.0744432351125,jl,2021 week 2
113,114,net_export,-3832.3005747199695,jl,2021 week 2
114,115,net_export,-3594.014196976837,jl,2021 week 2
115,116,net_export,-4711.295609823512,jl,2021 week 2
116,117,net_export,-4065.45962152676,jl,2021 week 2
117,118,net_export,-3935.4547031364777,jl,2021 week 2
118,119,net_export,-3284.8463142513942,jl,2021 week 2
119,120,net_export,-2005.1673258838123,jl,2021 week 2
120,121,net_export,-2139.053624260242,jl,2021 week 2
121,122,net_export,-1772.279086032925,jl,2021 week 2
122,123,net_export,-1860.029786570527,jl,2021 week 2
123,124,net_export,-1920.3603913386942,jl,2021 week 2
124,125,net_export,-1855.3039596700005,jl,2021 week 2
125,126,net_export,-1641.7131481211625,jl,2021 week 2
126,127,net_export,-1657.1323097244822,jl,2021 week 2
127,128,net_export,-2877.210438649033,jl,2021 week 2
128,129,net_export,-3281.071504871496,jl,2021 week 2
129,130,net_export,-3661.225915045044,jl,2021 week 2
130,131,net_export,-3798.4710374058295,jl,2021 week 2
131,132,net_export,-2015.2020004462506,jl,2021 week 2
132,133,net_export,-1167.8357807155373,jl,2021 week 2
133,134,net_export,-2279.1864277553104,jl,2021 week 2
134,135,net_export,-2611.0123069582673,jl,2021 week 2
135,136,net_export,-2377.768896769055,jl,2021 week 2
136,137,net_export,-3731.7159785815898,jl,2021 week 2
137,138,net_export,-4305.347595156803,jl,2021 week 2
138,139,net_export,-3174.991571978795,jl,2021 week 2
139,140,net_export,-3623.60221312492,jl,2021 week 2
140,141,net_export,-2272.3348562103806,jl,2021 week 2
141,142,net_export,-2665.8354684668816,jl,2021 week 2
142,143,net_export,-3115.2534490034254,jl,2021 week 2
143,144,net_export,-1772.6827011409412,jl,2021 week 2
144,145,net_export,-1245.920050890489,jl,2021 week 2
145,146,net_export,-1330.4306908005337,jl,2021 week 2
146,147,net_export,-1457.4705858835182,jl,2021 week 2
147,148,net_export,-1610.3695523074439,jl,2021 week 2
148,149,net_export,-1734.2322414374305,jl,2021 week 2
149,150,net_export,-3846.172953918973,jl,2021 week 2
150,151,net_export,-6332.251920383689,jl,2021 week 2
151,152,net_export,-4480.0867522972585,jl,2021 week 2
152,153,net_export,-4473.415593123526,jl,2021 week 2
153,154,net_export,-1672.9215699279807,jl,2021 week 2
154,155,net_export,-964.7721435796077,jl,2021 week 2
155,156,net_export,-1e-10,jl,2021 week 2
156,157,net_export,-1e-10,jl,2021 week 2
157,158,net_export,-1e-10,jl,2021 week 2
158,159,net_export,-1e-10,jl,2021 week 2
159,160,net_export,-1e-10,jl,2021 week 2
160,161,net_export,-1e-10,jl,2021 week 2
161,162,net_export,-1e-10,jl,2021 week 2
162,163,net_export,-1e-10,jl,2021 week 2
163,164,net_export,-1e-10,jl,2021 week 2
164,165,net_export,-1e-10,jl,2021 week 2
165,166,net_export,-465.412475771545,jl,2021 week 2
166,167,net_export,-1e-10,jl,2021 week 2
167,168,net_export,-1e-10,jl,2021 week 2
168,1,charge,-1e-10,jl,2021 week 2
169,2,charge,-1e-10,jl,2021 week 2
170,3,charge,-1e-10,jl,2021 week 2
171,4,charge,-46.49485156250037,jl,2021 week 2
172,5,charge,-1e-10,jl,2021 week 2
173,6,charge,-1e-10,jl,2021 week 2
174,7,charge,-1e-10,jl,2021 week 2
175,8,charge,-1e-10,jl,2021 week 2
176,9,charge,-1e-10,jl,2021 week 2
177,10,charge,-1e-10,jl,2021 week 2
178,11,charge,-1e-10,jl,2021 week 2
179,12,charge,-1e-10,jl,2021 week 2
180,13,charge,-1e-10,jl,2021 week 2
181,14,charge,-1e-10,jl,2021 week 2
182,15,charge,-1e-10,jl,2021 week 2
183,16,charge,-1e-10,jl,2021 week 2
184,17,charge,-1e-10,jl,2021 week 2
185,18,charge,-1e-10,jl,2021 week 2
186,19,charge,-1e-10,jl,2021 week 2
187,20,charge,-1e-10,jl,2021 week 2
188,21,charge,-1e-10,jl,2021 week 2
189,22,charge,-1e-10,jl,2021 week 2
190,23,charge,-1e-10,jl,2021 week 2
191,24,charge,-1e-10,jl,2021 week 2
192,25,charge,-1e-10,jl,2021 week 2
193,26,charge,-1e-10,jl,2021 week 2
194,27,charge,-1e-10,jl,2021 week 2
195,28,charge,-50.764914062499855,jl,2021 week 2
196,29,charge,-1e-10,jl,2021 week 2
197,30,charge,-1e-10,jl,2021 week 2
198,31,charge,-1e-10,jl,2021 week 2
199,32,charge,-1e-10,jl,2021 week 2
200,33,charge,-1e-10,jl,2021 week 2
201,34,charge,-1e-10,jl,2021 week 2
202,35,charge,-1e-10,jl,2021 week 2
