,hour,tech,dispatch,zone,period
0,1,net_export,-16054.979640289232,ime,2021 week 8
1,2,net_export,-16509.946942124283,ime,2021 week 8
2,3,net_export,-16548.8661942881,ime,2021 week 8
3,4,net_export,-16593.103898030196,ime,2021 week 8
4,5,net_export,-16110.252740929363,ime,2021 week 8
5,6,net_export,-15939.699281666484,ime,2021 week 8
6,7,net_export,-18776.471452307913,ime,2021 week 8
7,8,net_export,-15160.840270679595,ime,2021 week 8
8,9,net_export,-12270.08706331641,ime,2021 week 8
9,10,net_export,-14372.142548977467,ime,2021 week 8
10,11,net_export,-13534.476705552848,ime,2021 week 8
11,12,net_export,-13167.9321382927,ime,2021 week 8
12,13,net_export,-12240.05078458038,ime,2021 week 8
13,14,net_export,-11497.768604007895,ime,2021 week 8
14,15,net_export,-10876.425438501752,ime,2021 week 8
15,16,net_export,-11799.631250544393,ime,2021 week 8
16,17,net_export,-10666.901353627323,ime,2021 week 8
17,18,net_export,-10169.814497638323,ime,2021 week 8
18,19,net_export,-12100.510478828823,ime,2021 week 8
19,20,net_export,-15550.231308651131,ime,2021 week 8
20,21,net_export,-17709.936940580003,ime,2021 week 8
21,22,net_export,-19295.780610037997,ime,2021 week 8
22,23,net_export,-19861.15848050509,ime,2021 week 8
23,24,net_export,-18591.153442612926,ime,2021 week 8
24,25,net_export,-17353.32410012831,ime,2021 week 8
25,26,net_export,-15729.654631155694,ime,2021 week 8
26,27,net_export,-15057.989422744704,ime,2021 week 8
27,28,net_export,-15556.787987898644,ime,2021 week 8
28,29,net_export,-17556.65661679914,ime,2021 week 8
29,30,net_export,-18677.16489421286,ime,2021 week 8
30,31,net_export,-19715.94656530844,ime,2021 week 8
31,32,net_export,-18988.674115694375,ime,2021 week 8
32,33,net_export,-14608.430805132431,ime,2021 week 8
33,34,net_export,-13810.121539075053,ime,2021 week 8
34,35,net_export,-19907.604496150452,ime,2021 week 8
35,36,net_export,-19784.155868306905,ime,2021 week 8
36,37,net_export,-20056.409575296264,ime,2021 week 8
37,38,net_export,-19821.643457438597,ime,2021 week 8
38,39,net_export,-19741.623743734177,ime,2021 week 8
39,40,net_export,-18514.919000494396,ime,2021 week 8
40,41,net_export,-16410.820138697112,ime,2021 week 8
41,42,net_export,-18344.303856838906,ime,2021 week 8
42,43,net_export,-19171.71811667373,ime,2021 week 8
43,44,net_export,-19859.009378752173,ime,2021 week 8
44,45,net_export,-18650.41702406482,ime,2021 week 8
45,46,net_export,-18159.074288733842,ime,2021 week 8
46,47,net_export,-16661.591670628113,ime,2021 week 8
47,48,net_export,-15317.031697393431,ime,2021 week 8
48,49,net_export,-14659.199410446736,ime,2021 week 8
49,50,net_export,-14827.873638628951,ime,2021 week 8
50,51,net_export,-15328.859546765752,ime,2021 week 8
51,52,net_export,-16927.19284756368,ime,2021 week 8
52,53,net_export,-18554.067353410188,ime,2021 week 8
53,54,net_export,-17693.399523514832,ime,2021 week 8
54,55,net_export,-16124.776340235452,ime,2021 week 8
55,56,net_export,-15414.39793382802,ime,2021 week 8
56,57,net_export,-18255.96866911056,ime,2021 week 8
57,58,net_export,-16414.310667954887,ime,2021 week 8
58,59,net_export,-14109.37953393437,ime,2021 week 8
59,60,net_export,-13858.161535411109,ime,2021 week 8
60,61,net_export,-13482.32848858408,ime,2021 week 8
61,62,net_export,-12669.565020957685,ime,2021 week 8
62,63,net_export,-11880.800676688123,ime,2021 week 8
63,64,net_export,-11442.080111251902,ime,2021 week 8
64,65,net_export,-10970.309846929658,ime,2021 week 8
65,66,net_export,-10358.440446579634,ime,2021 week 8
66,67,net_export,-10700.182174814243,ime,2021 week 8
67,68,net_export,-10335.669633904727,ime,2021 week 8
68,69,net_export,-10410.884734951669,ime,2021 week 8
69,70,net_export,-10823.550707291726,ime,2021 week 8
70,71,net_export,-11595.166182534533,ime,2021 week 8
71,72,net_export,-11692.313887503593,ime,2021 week 8
72,73,net_export,-12104.400088928905,ime,2021 week 8
73,74,net_export,-12669.92958303697,ime,2021 week 8
74,75,net_export,-12526.44350106782,ime,2021 week 8
75,76,net_export,-12527.61893421856,ime,2021 week 8
76,77,net_export,-12563.635450835889,ime,2021 week 8
77,78,net_export,-12320.351220143639,ime,2021 week 8
78,79,net_export,-13048.975121864321,ime,2021 week 8
79,80,net_export,-13179.584415867434,ime,2021 week 8
80,81,net_export,-13891.090333720356,ime,2021 week 8
81,82,net_export,-14909.575244987751,ime,2021 week 8
82,83,net_export,-15417.260608752962,ime,2021 week 8
83,84,net_export,-16752.898197924515,ime,2021 week 8
84,85,net_export,-17640.359666376164,ime,2021 week 8
85,86,net_export,-18283.485074873057,ime,2021 week 8
86,87,net_export,-18883.421977522852,ime,2021 week 8
87,88,net_export,-18821.549697221064,ime,2021 week 8
88,89,net_export,-15826.460504781242,ime,2021 week 8
89,90,net_export,-12599.127535082378,ime,2021 week 8
90,91,net_export,-11908.919075801345,ime,2021 week 8
91,92,net_export,-11718.699667553488,ime,2021 week 8
92,93,net_export,-13332.761230216702,ime,2021 week 8
93,94,net_export,-16172.188699955368,ime,2021 week 8
94,95,net_export,-17675.583449921065,ime,2021 week 8
95,96,net_export,-18316.564532771066,ime,2021 week 8
96,97,net_export,-16262.052622218465,ime,2021 week 8
97,98,net_export,-16390.278645780112,ime,2021 week 8
98,99,net_export,-15657.477300449016,ime,2021 week 8
99,100,net_export,-14506.411431275275,ime,2021 week 8
100,101,net_export,-13810.458517312598,ime,2021 week 8
101,102,net_export,-12912.811204169933,ime,2021 week 8
102,103,net_export,-13001.984055059933,ime,2021 week 8
103,104,net_export,-11860.174051782824,ime,2021 week 8
104,105,net_export,-11153.22025291506,ime,2021 week 8
105,106,net_export,-13553.432491601196,ime,2021 week 8
106,107,net_export,-16154.007350011,ime,2021 week 8
107,108,net_export,-18388.980406423827,ime,2021 week 8
108,109,net_export,-16380.104719120114,ime,2021 week 8
109,110,net_export,-17870.28366699854,ime,2021 week 8
110,111,net_export,-17224.770380858245,ime,2021 week 8
111,112,net_export,-15120.915346959073,ime,2021 week 8
112,113,net_export,-12300.724994848151,ime,2021 week 8
113,114,net_export,-10342.347237722963,ime,2021 week 8
114,115,net_export,-10758.675313754791,ime,2021 week 8
115,116,net_export,-11268.52983972005,ime,2021 week 8
116,117,net_export,-12779.73665459338,ime,2021 week 8
117,118,net_export,-14399.085344055991,ime,2021 week 8
118,119,net_export,-16210.199470034699,ime,2021 week 8
119,120,net_export,-16358.810295224519,ime,2021 week 8
120,121,net_export,-14337.685834323409,ime,2021 week 8
121,122,net_export,-13153.18090312976,ime,2021 week 8
122,123,net_export,-13043.13524528227,ime,2021 week 8
123,124,net_export,-13010.960906318143,ime,2021 week 8
124,125,net_export,-12452.018543471186,ime,2021 week 8
125,126,net_export,-11995.89266298295,ime,2021 week 8
126,127,net_export,-11544.83500884173,ime,2021 week 8
127,128,net_export,-11836.853920451895,ime,2021 week 8
128,129,net_export,-11697.826839520694,ime,2021 week 8
129,130,net_export,-11179.445574991694,ime,2021 week 8
130,131,net_export,-10081.167543856309,ime,2021 week 8
131,132,net_export,-10787.103148116474,ime,2021 week 8
132,133,net_export,-12137.814854408462,ime,2021 week 8
133,134,net_export,-12405.630174905638,ime,2021 week 8
134,135,net_export,-13066.330213228266,ime,2021 week 8
135,136,net_export,-14225.700131269485,ime,2021 week 8
136,137,net_export,-15396.3550550554,ime,2021 week 8
137,138,net_export,-16968.81040875022,ime,2021 week 8
138,139,net_export,-18260.283697937302,ime,2021 week 8
139,140,net_export,-19020.1217802163,ime,2021 week 8
140,141,net_export,-18880.06455006215,ime,2021 week 8
141,142,net_export,-16237.960126949314,ime,2021 week 8
142,143,net_export,-15678.075793688648,ime,2021 week 8
143,144,net_export,-13848.159987472787,ime,2021 week 8
144,145,net_export,-14041.027349633272,ime,2021 week 8
145,146,net_export,-14779.821434744743,ime,2021 week 8
146,147,net_export,-17266.266101623427,ime,2021 week 8
147,148,net_export,-19349.184375370605,ime,2021 week 8
148,149,net_export,-19563.90126022917,ime,2021 week 8
149,150,net_export,-18452.073799354534,ime,2021 week 8
150,151,net_export,-18798.124776551093,ime,2021 week 8
151,152,net_export,-18123.172789501885,ime,2021 week 8
152,153,net_export,-20390.71643220348,ime,2021 week 8
153,154,net_export,-21604.42723287319,ime,2021 week 8
154,155,net_export,-22847.27482060248,ime,2021 week 8
155,156,net_export,-20789.96188748425,ime,2021 week 8
156,157,net_export,-17764.284512973987,ime,2021 week 8
157,158,net_export,-19639.908392792346,ime,2021 week 8
158,159,net_export,-20408.239109290043,ime,2021 week 8
159,160,net_export,-22030.05366060979,ime,2021 week 8
160,161,net_export,-22155.370668703134,ime,2021 week 8
161,162,net_export,-16666.896865694813,ime,2021 week 8
162,163,net_export,-13082.138443372907,ime,2021 week 8
163,164,net_export,-12973.9939723219,ime,2021 week 8
164,165,net_export,-14987.620660536872,ime,2021 week 8
165,166,net_export,-17572.888930646346,ime,2021 week 8
166,167,net_export,-17702.35924534874,ime,2021 week 8
167,168,net_export,-17819.388788780092,ime,2021 week 8
168,1,charge,-1e-10,ime,2021 week 8
169,2,charge,-861.0526315789474,ime,2021 week 8
170,3,charge,-861.0526315789474,ime,2021 week 8
171,4,charge,-516.6315789473684,ime,2021 week 8
172,5,charge,-861.0526315789474,ime,2021 week 8
173,6,charge,-1e-10,ime,2021 week 8
174,7,charge,-1e-10,ime,2021 week 8
175,8,charge,-1e-10,ime,2021 week 8
176,9,charge,-1e-10,ime,2021 week 8
177,10,charge,-1e-10,ime,2021 week 8
178,11,charge,-1e-10,ime,2021 week 8
179,12,charge,-1e-10,ime,2021 week 8
180,13,charge,-1e-10,ime,2021 week 8
181,14,charge,-1e-10,ime,2021 week 8
182,15,charge,-1e-10,ime,2021 week 8
183,16,charge,-1e-10,ime,2021 week 8
184,17,charge,-1e-10,ime,2021 week 8
185,18,charge,-1e-10,ime,2021 week 8
186,19,charge,-1e-10,ime,2021 week 8
187,20,charge,-1e-10,ime,2021 week 8
188,21,charge,-1e-10,ime,2021 week 8
189,22,charge,-1e-10,ime,2021 week 8
190,23,charge,-1e-10,ime,2021 week 8
191,24,charge,-1e-10,ime,2021 week 8
192,25,charge,-1e-10,ime,2021 week 8
193,26,charge,-1e-10,ime,2021 week 8
194,27,charge,-1e-10,ime,2021 week 8
195,28,charge,-1e-10,ime,2021 week 8
196,29,charge,-1e-10,ime,2021 week 8
197,30,charge,-1e-10,ime,2021 week 8
198,31,charge,-1e-10,ime,2021 week 8
199,32,charge,-1e-10,ime,2021 week 8
200,33,charge,-1e-10,ime,2021 week 8
201,34,charge,-1e-10,ime,2021 week 8
202,35,charge,-1e-10,ime,2021 week 8
203,36,charge,-1e-10,ime,2021 week 8
204,37,charge,-861.0526315789474,ime,2021 week 8
205,38,charge,-861.0526315789474,ime,2021 week 8
206,39,charge,-22.972858531641123,ime,2021 week 8
207,40,charge,-1e-10,ime,2021 week 8
208,41,charge,-1e-10,ime,2021 week 8
209,42,charge,-1e-10,ime,2021 week 8
210,43,charge,-1e-10,ime,2021 week 8
211,44,charge,-1e-10,ime,2021 week 8
212,45,charge,-1e-10,ime,2021 week 8
213,46,charge,-1e-10,ime,2021 week 8
214,47,charge,-1e-10,ime,2021 week 8
215,48,charge,-861.0526315789474,ime,2021 week 8
216,49,charge,-838.0797730473062,ime,2021 week 8
217,50,charge,-1e-10,ime,2021 week 8
218,51,charge,-1e-10,ime,2021 week 8
219,52,charge,-1e-10,ime,2021 week 8
220,53,charge,-1e-10,ime,2021 week 8
221,54,charge,-1e-10,ime,2021 week 8
222,55,charge,-1e-10,ime,2021 week 8
223,56,charge,-1e-10,ime,2021 week 8
224,57,charge,-1e-10,ime,2021 week 8
225,58,charge,-1e-10,ime,2021 week 8
226,59,charge,-1e-10,ime,2021 week 8
227,60,charge,-1e-10,ime,2021 week 8
228,61,charge,-1e-10,ime,2021 week 8
229,62,charge,-1e-10,ime,2021 week 8
230,63,charge,-1e-10,ime,2021 week 8
231,64,charge,-1e-10,ime,2021 week 8
232,65,charge,-1e-10,ime,2021 week 8
233,66,charge,-1e-10,ime,2021 week 8
234,67,charge,-1e-10,ime,2021 week 8
235,68,charge,-1e-10,ime,2021 week 8
236,69,charge,-1e-10,ime,2021 week 8
237,70,charge,-1e-10,ime,2021 week 8
238,71,charge,-1e-10,ime,2021 week 8
239,72,charge,-1e-10,ime,2021 week 8
240,73,charge,-1e-10,ime,2021 week 8
241,74,charge,-1e-10,ime,2021 week 8
242,75,charge,-1e-10,ime,2021 week 8
243,76,charge,-1e-10,ime,2021 week 8
244,77,charge,-1e-10,ime,2021 week 8
245,78,charge,-1e-10,ime,2021 week 8
246,79,charge,-1e-10,ime,2021 week 8
247,80,charge,-1e-10,ime,2021 week 8
248,81,charge,-1e-10,ime,2021 week 8
249,82,charge,-1e-10,ime,2021 week 8
250,83,charge,-1e-10,ime,2021 week 8
251,84,charge,-1e-10,ime,2021 week 8
252,85,charge,-861.0526315789474,ime,2021 week 8
253,86,charge,-861.0526315789474,ime,2021 week 8
254,87,charge,-861.0526315789474,ime,2021 week 8
