,hour,tech,dispatch,zone,period
0,1,net_export,-2060.359793354682,hl,2021 week 10
1,2,net_export,-1912.6131647105972,hl,2021 week 10
2,3,net_export,-1802.5625021026817,hl,2021 week 10
3,4,net_export,-1802.5625021026817,hl,2021 week 10
4,5,net_export,-1802.5625021026817,hl,2021 week 10
5,6,net_export,-1883.5004288352015,hl,2021 week 10
6,7,net_export,-2247.1697855710663,hl,2021 week 10
7,8,net_export,-2247.1697855710663,hl,2021 week 10
8,9,net_export,-2247.1697855710663,hl,2021 week 10
9,10,net_export,-2347.614816458701,hl,2021 week 10
10,11,net_export,-2347.614816458701,hl,2021 week 10
11,12,net_export,-2133.8837458906814,hl,2021 week 10
12,13,net_export,-2608.0801338663887,hl,2021 week 10
13,14,net_export,-2133.8837458906814,hl,2021 week 10
14,15,net_export,-2266.6768897261813,hl,2021 week 10
15,16,net_export,-2347.614816458701,hl,2021 week 10
16,17,net_export,-2347.614816458701,hl,2021 week 10
17,18,net_export,-2379.962929406566,hl,2021 week 10
18,19,net_export,-2379.962929406566,hl,2021 week 10
19,20,net_export,-2379.962929406566,hl,2021 week 10
20,21,net_export,-2379.962929406566,hl,2021 week 10
21,22,net_export,-2247.1697855710663,hl,2021 week 10
22,23,net_export,-2214.8216726232013,hl,2021 week 10
23,24,net_export,-1883.5004288352015,hl,2021 week 10
24,25,net_export,-1822.609746517176,hl,2021 week 10
25,26,net_export,-1822.609746517176,hl,2021 week 10
26,27,net_export,-1822.609746517176,hl,2021 week 10
27,28,net_export,-1822.609746517176,hl,2021 week 10
28,29,net_export,-1822.609746517176,hl,2021 week 10
29,30,net_export,-2167.981558605775,hl,2021 week 10
30,31,net_export,-2280.2131520337193,hl,2021 week 10
31,32,net_export,-2280.2131520337193,hl,2021 week 10
32,33,net_export,-2516.8892326503565,hl,2021 week 10
33,34,net_export,-2749.760051692775,hl,2021 week 10
34,35,net_export,-2911.9527014047253,hl,2021 week 10
35,36,net_export,-2499.686453940676,hl,2021 week 10
36,37,net_export,-2499.686453940676,hl,2021 week 10
37,38,net_export,-2499.686453940676,hl,2021 week 10
38,39,net_export,-2665.8636277681762,hl,2021 week 10
39,40,net_export,-2749.760051692775,hl,2021 week 10
40,41,net_export,-2382.506755694775,hl,2021 week 10
41,42,net_export,-2416.1762942562195,hl,2021 week 10
42,43,net_export,-2632.1561700496504,hl,2021 week 10
43,44,net_export,-2695.7760016112215,hl,2021 week 10
44,45,net_export,-2416.1762942562195,hl,2021 week 10
45,46,net_export,-2280.2131520337193,hl,2021 week 10
46,47,net_export,-2246.543613472275,hl,2021 week 10
47,48,net_export,-1906.506170441775,hl,2021 week 10
48,49,net_export,-2130.4990594174706,hl,2021 week 10
49,50,net_export,-2130.4990594174706,hl,2021 week 10
50,51,net_export,-2130.4990594174706,hl,2021 week 10
51,52,net_export,-2130.4990594174706,hl,2021 week 10
52,53,net_export,-1861.7317869084704,hl,2021 week 10
53,54,net_export,-1945.5296429367854,hl,2021 week 10
54,55,net_export,-2330.223580589679,hl,2021 week 10
55,56,net_export,-2330.223580589679,hl,2021 week 10
56,57,net_export,-2330.223580589679,hl,2021 week 10
57,58,net_export,-2436.5731927842853,hl,2021 week 10
58,59,net_export,-2436.5731927842853,hl,2021 week 10
59,60,net_export,-2212.8002128194703,hl,2021 week 10
60,61,net_export,-2212.8002128194703,hl,2021 week 10
61,62,net_export,-2212.8002128194703,hl,2021 week 10
62,63,net_export,-2352.7753367559703,hl,2021 week 10
63,64,net_export,-2436.5731927842853,hl,2021 week 10
64,65,net_export,-2436.5731927842853,hl,2021 week 10
65,66,net_export,-2470.198704526179,hl,2021 week 10
66,67,net_export,-2470.198704526179,hl,2021 week 10
67,68,net_export,-2470.198704526179,hl,2021 week 10
68,69,net_export,-2470.198704526179,hl,2021 week 10
69,70,net_export,-2330.223580589679,hl,2021 week 10
70,71,net_export,-2296.5980688477853,hl,2021 week 10
71,72,net_export,-1945.5296429367854,hl,2021 week 10
72,73,net_export,-1892.4218721867196,hl,2021 week 10
73,74,net_export,-1892.4218721867196,hl,2021 week 10
74,75,net_export,-1892.4218721867196,hl,2021 week 10
75,76,net_export,-1892.4218721867196,hl,2021 week 10
76,77,net_export,-1892.4218721867196,hl,2021 week 10
77,78,net_export,-1973.6787249767613,hl,2021 week 10
78,79,net_export,-2350.2955994711147,hl,2021 week 10
79,80,net_export,-2350.2955994711147,hl,2021 week 10
80,81,net_export,-2350.2955994711147,hl,2021 week 10
81,82,net_export,-2455.2552817847604,hl,2021 week 10
82,83,net_export,-2455.2552817847604,hl,2021 week 10
83,84,net_export,-2236.5481822212196,hl,2021 week 10
84,85,net_export,-2733.55888938149,hl,2021 week 10
85,86,net_export,-2733.55888938149,hl,2021 week 10
86,87,net_export,-2755.1495656407196,hl,2021 week 10
87,88,net_export,-2836.4064184307613,hl,2021 week 10
88,89,net_export,-2455.2552817847604,hl,2021 week 10
89,90,net_export,-2487.745846244614,hl,2021 week 10
90,91,net_export,-2487.745846244614,hl,2021 week 10
91,92,net_export,-2487.745846244614,hl,2021 week 10
92,93,net_export,-2487.745846244614,hl,2021 week 10
93,94,net_export,-2350.2955994711147,hl,2021 week 10
94,95,net_export,-2317.805035011261,hl,2021 week 10
95,96,net_export,-1973.6787249767613,hl,2021 week 10
96,97,net_export,-1905.519528657468,hl,2021 week 10
97,98,net_export,-1905.519528657468,hl,2021 week 10
98,99,net_export,-1905.519528657468,hl,2021 week 10
99,100,net_export,-1905.519528657468,hl,2021 week 10
100,101,net_export,-1905.519528657468,hl,2021 week 10
101,102,net_export,-1986.0755346670185,hl,2021 week 10
102,103,net_export,-2352.134853750285,hl,2021 week 10
103,104,net_export,-2352.134853750285,hl,2021 week 10
104,105,net_export,-2352.134853750285,hl,2021 week 10
105,106,net_export,-2453.6817660775187,hl,2021 week 10
106,107,net_export,-2453.6817660775187,hl,2021 week 10
107,108,net_export,-2239.4013208069678,hl,2021 week 10
108,109,net_export,-2239.4013208069678,hl,2021 week 10
109,110,net_export,-2239.4013208069678,hl,2021 week 10
110,111,net_export,-2373.1257600679683,hl,2021 week 10
111,112,net_export,-2453.6817660775187,hl,2021 week 10
112,113,net_export,-2453.6817660775187,hl,2021 week 10
113,114,net_export,-2673.186135887046,hl,2021 week 10
114,115,net_export,-2866.874261239285,hl,2021 week 10
115,116,net_export,-2485.859293011285,hl,2021 week 10
116,117,net_export,-2485.859293011285,hl,2021 week 10
117,118,net_export,-2352.134853750285,hl,2021 week 10
118,119,net_export,-2636.0972934570655,hl,2021 week 10
119,120,net_export,-1986.0755346670185,hl,2021 week 10
120,121,net_export,-1903.590064221075,hl,2021 week 10
121,122,net_export,-1903.590064221075,hl,2021 week 10
122,123,net_export,-1903.590064221075,hl,2021 week 10
123,124,net_export,-2326.610078492425,hl,2021 week 10
124,125,net_export,-2326.6100784925825,hl,2021 week 10
125,126,net_export,-2260.0998047970597,hl,2021 week 10
126,127,net_export,-2692.9017762801714,hl,2021 week 10
127,128,net_export,-2692.9017762801714,hl,2021 week 10
128,129,net_export,-2692.9017762801714,hl,2021 week 10
129,130,net_export,-2822.06158126106,hl,2021 week 10
130,131,net_export,-2822.06158126106,hl,2021 week 10
131,132,net_export,-2581.610374676575,hl,2021 week 10
132,133,net_export,-2727.6797799371625,hl,2021 week 10
133,134,net_export,-2647.2792027550004,hl,2021 week 10
134,135,net_export,-2742.5024496960755,hl,2021 week 10
135,136,net_export,-2822.06158126106,hl,2021 week 10
136,137,net_export,-2822.06158126106,hl,2021 week 10
137,138,net_export,-2853.7938512996716,hl,2021 week 10
138,139,net_export,-2853.7938512996716,hl,2021 week 10
139,140,net_export,-2759.1595772335786,hl,2021 week 10
