,hour,tech,dispatch,zone,period
0,1,net_export,-5731.85858529652,ime,2021 week 9
1,2,net_export,-5731.85858529652,ime,2021 week 9
2,3,net_export,-5731.85858529652,ime,2021 week 9
3,4,net_export,-5731.85858529652,ime,2021 week 9
4,5,net_export,-5731.85858529652,ime,2021 week 9
5,6,net_export,-5967.44719410186,ime,2021 week 9
6,7,net_export,-5094.192832207333,ime,2021 week 9
7,8,net_export,-4499.8756156082545,ime,2021 week 9
8,9,net_export,-4540.82147073624,ime,2021 week 9
9,10,net_export,-4440.924280442519,ime,2021 week 9
10,11,net_export,-4617.046897278065,ime,2021 week 9
11,12,net_export,-4610.023998544933,ime,2021 week 9
12,13,net_export,-4610.023998544933,ime,2021 week 9
13,14,net_export,-4871.121291730934,ime,2021 week 9
14,15,net_export,-5354.60843545581,ime,2021 week 9
15,16,net_export,-5372.92089975897,ime,2021 week 9
16,17,net_export,-4836.631952363783,ime,2021 week 9
17,18,net_export,-4236.8413751168755,ime,2021 week 9
18,19,net_export,-5006.557190148901,ime,2021 week 9
19,20,net_export,-5172.282690137401,ime,2021 week 9
20,21,net_export,-5528.475742255425,ime,2021 week 9
21,22,net_export,-5509.958981304255,ime,2021 week 9
22,23,net_export,-5224.346075229181,ime,2021 week 9
23,24,net_export,-5648.328280207861,ime,2021 week 9
24,25,net_export,-5731.852260868813,ime,2021 week 9
25,26,net_export,-5731.852260868813,ime,2021 week 9
26,27,net_export,-5731.852260868813,ime,2021 week 9
27,28,net_export,-5731.852260868813,ime,2021 week 9
28,29,net_export,-5731.852260868813,ime,2021 week 9
29,30,net_export,-5968.595836749868,ime,2021 week 9
30,31,net_export,-5542.9102783704975,ime,2021 week 9
31,32,net_export,-5542.9102783704975,ime,2021 week 9
32,33,net_export,-5573.515844988497,ime,2021 week 9
33,34,net_export,-4674.44304655061,ime,2021 week 9
34,35,net_export,-4683.602105988397,ime,2021 week 9
35,36,net_export,-4663.863055696542,ime,2021 week 9
36,37,net_export,-4927.04634496532,ime,2021 week 9
37,38,net_export,-4917.098457463542,ime,2021 week 9
38,39,net_export,-5344.979170956068,ime,2021 week 9
39,40,net_export,-5410.878536185468,ime,2021 week 9
40,41,net_export,-5600.766968976375,ime,2021 week 9
41,42,net_export,-5572.068719298206,ime,2021 week 9
42,43,net_export,-5572.068719298206,ime,2021 week 9
43,44,net_export,-5041.651498399953,ime,2021 week 9
44,45,net_export,-5443.245894054453,ime,2021 week 9
45,46,net_export,-5542.9102783704975,ime,2021 week 9
46,47,net_export,-5262.098592555667,ime,2021 week 9
47,48,net_export,-5659.085901256867,ime,2021 week 9
48,49,net_export,-5761.316849798092,ime,2021 week 9
49,50,net_export,-5761.316849798092,ime,2021 week 9
50,51,net_export,-5761.316849798092,ime,2021 week 9
51,52,net_export,-5761.316849798092,ime,2021 week 9
52,53,net_export,-5761.316849798092,ime,2021 week 9
53,54,net_export,-6001.141386952833,ime,2021 week 9
54,55,net_export,-5558.024410857677,ime,2021 week 9
55,56,net_export,-5558.024410857677,ime,2021 week 9
56,57,net_export,-4957.914862396428,ime,2021 week 9
57,58,net_export,-4426.863687978815,ime,2021 week 9
58,59,net_export,-3950.757082611362,ime,2021 week 9
59,60,net_export,-5243.986756374627,ime,2021 week 9
60,61,net_export,-5406.066476498128,ime,2021 week 9
