,hour,tech,dispatch,zone,period
0,1,net_export,-5890.117548854063,ime,2021 week 10
1,2,net_export,-5890.117548854063,ime,2021 week 10
2,3,net_export,-5890.117548854063,ime,2021 week 10
3,4,net_export,-5890.117548854063,ime,2021 week 10
4,5,net_export,-5890.117548854063,ime,2021 week 10
5,6,net_export,-6126.623007336544,ime,2021 week 10
6,7,net_export,-5653.781582890098,ime,2021 week 10
7,8,net_export,-5653.781582890098,ime,2021 week 10
8,9,net_export,-5685.488077028098,ime,2021 week 10
9,10,net_export,-5541.287054012924,ime,2021 week 10
10,11,net_export,-5753.347396840301,ime,2021 week 10
11,12,net_export,-5693.39107432086,ime,2021 week 10
12,13,net_export,-5550.618920661153,ime,2021 week 10
13,14,net_export,-6010.834459535861,ime,2021 week 10
14,15,net_export,-5834.285323572822,ime,2021 week 10
15,16,net_export,-5509.580559874925,ime,2021 week 10
16,17,net_export,-5030.239835809845,ime,2021 week 10
17,18,net_export,-4368.3129022337425,ime,2021 week 10
18,19,net_export,-4703.95905887164,ime,2021 week 10
19,20,net_export,-4332.385871551,ime,2021 week 10
20,21,net_export,-4855.64071814164,ime,2021 week 10
21,22,net_export,-5653.781582890098,ime,2021 week 10
22,23,net_export,-5368.686310622963,ime,2021 week 10
23,24,net_export,-5809.179622121544,ime,2021 week 10
24,25,net_export,-5922.584296256855,ime,2021 week 10
25,26,net_export,-5922.584296256855,ime,2021 week 10
26,27,net_export,-5922.584296256855,ime,2021 week 10
27,28,net_export,-5922.584296256855,ime,2021 week 10
28,29,net_export,-5922.584296256855,ime,2021 week 10
29,30,net_export,-6156.441111850256,ime,2021 week 10
30,31,net_export,-5670.690049464532,ime,2021 week 10
31,32,net_export,-5670.690049464532,ime,2021 week 10
32,33,net_export,-5387.133698963011,ime,2021 week 10
33,34,net_export,-4566.738396749286,ime,2021 week 10
34,35,net_export,-4099.815347103311,ime,2021 week 10
35,36,net_export,-5709.659506437154,ime,2021 week 10
36,37,net_export,-5709.659506437154,ime,2021 week 10
37,38,net_export,-6027.412745955154,ime,2021 week 10
38,39,net_export,-5765.891696536652,ime,2021 week 10
39,40,net_export,-5038.998905250787,ime,2021 week 10
40,41,net_export,-4795.704698265144,ime,2021 week 10
41,42,net_export,-5669.296254385852,ime,2021 week 10
42,43,net_export,-5669.296254385852,ime,2021 week 10
43,44,net_export,-5669.296254385852,ime,2021 week 10
44,45,net_export,-5669.296254385852,ime,2021 week 10
45,46,net_export,-5670.690049464532,ime,2021 week 10
46,47,net_export,-5386.606348507977,ime,2021 week 10
47,48,net_export,-5838.687872332257,ime,2021 week 10
48,49,net_export,-5894.628795201412,ime,2021 week 10
49,50,net_export,-5894.628795201412,ime,2021 week 10
50,51,net_export,-5894.628795201412,ime,2021 week 10
51,52,net_export,-5894.628795201412,ime,2021 week 10
52,53,net_export,-5894.628795201412,ime,2021 week 10
53,54,net_export,-6123.472729491098,ime,2021 week 10
54,55,net_export,-5623.099869247944,ime,2021 week 10
55,56,net_export,-5623.099869247944,ime,2021 week 10
56,57,net_export,-5654.140127485944,ime,2021 week 10
57,58,net_export,-4194.8648665163455,ime,2021 week 10
58,59,net_export,-4293.656753660804,ime,2021 week 10
59,60,net_export,-4673.0250347832825,ime,2021 week 10
60,61,net_export,-4673.0250347832825,ime,2021 week 10
61,62,net_export,-5250.850955949862,ime,2021 week 10
62,63,net_export,-5790.777230038189,ime,2021 week 10
63,64,net_export,-5470.627724595308,ime,2021 week 10
64,65,net_export,-5647.755660729335,ime,2021 week 10
65,66,net_export,-5614.130148987442,ime,2021 week 10
66,67,net_export,-5614.130148987442,ime,2021 week 10
67,68,net_export,-5614.130148987442,ime,2021 week 10
68,69,net_export,-5614.130148987442,ime,2021 week 10
69,70,net_export,-5623.099869247944,ime,2021 week 10
70,71,net_export,-5344.083590671837,ime,2021 week 10
71,72,net_export,-5810.830939173097,ime,2021 week 10
72,73,net_export,-5852.177196771301,ime,2021 week 10
73,74,net_export,-5852.177196771301,ime,2021 week 10
