,hour,tech,dispatch,zone,period
0,1,net_export,-1e-10,hl,2021 week 4
1,2,net_export,-1e-10,hl,2021 week 4
2,3,net_export,-1e-10,hl,2021 week 4
3,4,net_export,-1e-10,hl,2021 week 4
4,5,net_export,-1e-10,hl,2021 week 4
5,6,net_export,-1e-10,hl,2021 week 4
6,7,net_export,-1e-10,hl,2021 week 4
7,8,net_export,-1e-10,hl,2021 week 4
8,9,net_export,-1e-10,hl,2021 week 4
9,10,net_export,-1e-10,hl,2021 week 4
10,11,net_export,-1e-10,hl,2021 week 4
11,12,net_export,-1e-10,hl,2021 week 4
12,13,net_export,-1e-10,hl,2021 week 4
13,14,net_export,-1e-10,hl,2021 week 4
14,15,net_export,-1e-10,hl,2021 week 4
15,16,net_export,-1e-10,hl,2021 week 4
16,17,net_export,-1e-10,hl,2021 week 4
17,18,net_export,-1e-10,hl,2021 week 4
18,19,net_export,-1e-10,hl,2021 week 4
19,20,net_export,-1e-10,hl,2021 week 4
20,21,net_export,-1e-10,hl,2021 week 4
21,22,net_export,-1e-10,hl,2021 week 4
22,23,net_export,-1e-10,hl,2021 week 4
23,24,net_export,-1e-10,hl,2021 week 4
24,25,net_export,-1e-10,hl,2021 week 4
25,26,net_export,-1e-10,hl,2021 week 4
26,27,net_export,-1e-10,hl,2021 week 4
27,28,net_export,-1e-10,hl,2021 week 4
28,29,net_export,-1e-10,hl,2021 week 4
29,30,net_export,-1e-10,hl,2021 week 4
30,31,net_export,-1e-10,hl,2021 week 4
31,32,net_export,-1e-10,hl,2021 week 4
32,33,net_export,-1e-10,hl,2021 week 4
33,34,net_export,-1e-10,hl,2021 week 4
34,35,net_export,-1e-10,hl,2021 week 4
35,36,net_export,-1e-10,hl,2021 week 4
36,37,net_export,-1e-10,hl,2021 week 4
37,38,net_export,-1e-10,hl,2021 week 4
38,39,net_export,-1e-10,hl,2021 week 4
39,40,net_export,-1e-10,hl,2021 week 4
40,41,net_export,-1e-10,hl,2021 week 4
41,42,net_export,-1e-10,hl,2021 week 4
42,43,net_export,-1e-10,hl,2021 week 4
43,44,net_export,-1e-10,hl,2021 week 4
44,45,net_export,-1e-10,hl,2021 week 4
45,46,net_export,-1e-10,hl,2021 week 4
46,47,net_export,-1e-10,hl,2021 week 4
47,48,net_export,-1e-10,hl,2021 week 4
48,49,net_export,-1e-10,hl,2021 week 4
49,50,net_export,-1e-10,hl,2021 week 4
50,51,net_export,-1e-10,hl,2021 week 4
51,52,net_export,-1e-10,hl,2021 week 4
52,53,net_export,-1e-10,hl,2021 week 4
53,54,net_export,-1e-10,hl,2021 week 4
54,55,net_export,-1e-10,hl,2021 week 4
55,56,net_export,-1e-10,hl,2021 week 4
56,57,net_export,-1e-10,hl,2021 week 4
57,58,net_export,-1e-10,hl,2021 week 4
58,59,net_export,-1e-10,hl,2021 week 4
59,60,net_export,-1e-10,hl,2021 week 4
60,61,net_export,-1e-10,hl,2021 week 4
61,62,net_export,-1e-10,hl,2021 week 4
62,63,net_export,-1e-10,hl,2021 week 4
63,64,net_export,-1e-10,hl,2021 week 4
64,65,net_export,-1e-10,hl,2021 week 4
65,66,net_export,-1e-10,hl,2021 week 4
66,67,net_export,-1e-10,hl,2021 week 4
67,68,net_export,-1e-10,hl,2021 week 4
68,69,net_export,-1e-10,hl,2021 week 4
69,70,net_export,-1e-10,hl,2021 week 4
70,71,net_export,-1e-10,hl,2021 week 4
71,72,net_export,-1e-10,hl,2021 week 4
72,73,net_export,-1e-10,hl,2021 week 4
73,74,net_export,-1e-10,hl,2021 week 4
74,75,net_export,-1e-10,hl,2021 week 4
75,76,net_export,-1e-10,hl,2021 week 4
76,77,net_export,-1e-10,hl,2021 week 4
77,78,net_export,-1e-10,hl,2021 week 4
78,79,net_export,-1e-10,hl,2021 week 4
79,80,net_export,-1e-10,hl,2021 week 4
80,81,net_export,-1e-10,hl,2021 week 4
81,82,net_export,-1e-10,hl,2021 week 4
82,83,net_export,-1e-10,hl,2021 week 4
83,84,net_export,-1e-10,hl,2021 week 4
84,85,net_export,-1e-10,hl,2021 week 4
85,86,net_export,-281.53563277157593,hl,2021 week 4
86,87,net_export,-1e-10,hl,2021 week 4
87,88,net_export,-206.4140731585996,hl,2021 week 4
88,89,net_export,-1e-10,hl,2021 week 4
89,90,net_export,-1e-10,hl,2021 week 4
90,91,net_export,-1e-10,hl,2021 week 4
91,92,net_export,-1e-10,hl,2021 week 4
92,93,net_export,-1e-10,hl,2021 week 4
93,94,net_export,-1e-10,hl,2021 week 4
94,95,net_export,-1e-10,hl,2021 week 4
95,96,net_export,-1e-10,hl,2021 week 4
96,97,net_export,-1e-10,hl,2021 week 4
97,98,net_export,-1e-10,hl,2021 week 4
98,99,net_export,-99.69548671499976,hl,2021 week 4
99,100,net_export,-754.9588142149996,hl,2021 week 4
100,101,net_export,-1e-10,hl,2021 week 4
101,102,net_export,-1e-10,hl,2021 week 4
102,103,net_export,-1e-10,hl,2021 week 4
103,104,net_export,-1e-10,hl,2021 week 4
104,105,net_export,-1e-10,hl,2021 week 4
105,106,net_export,-1e-10,hl,2021 week 4
106,107,net_export,-1e-10,hl,2021 week 4
107,108,net_export,-1e-10,hl,2021 week 4
108,109,net_export,-1e-10,hl,2021 week 4
109,110,net_export,-1e-10,hl,2021 week 4
110,111,net_export,-1e-10,hl,2021 week 4
111,112,net_export,-1e-10,hl,2021 week 4
112,113,net_export,-1e-10,hl,2021 week 4
113,114,net_export,-1e-10,hl,2021 week 4
114,115,net_export,-1e-10,hl,2021 week 4
115,116,net_export,-207.31106739200035,hl,2021 week 4
116,117,net_export,-913.6958146316,hl,2021 week 4
117,118,net_export,-1757.4581903378505,hl,2021 week 4
118,119,net_export,-1e-10,hl,2021 week 4
119,120,net_export,-1e-10,hl,2021 week 4
120,121,net_export,-1e-10,hl,2021 week 4
121,122,net_export,-1e-10,hl,2021 week 4
122,123,net_export,-1e-10,hl,2021 week 4
123,124,net_export,-1e-10,hl,2021 week 4
124,125,net_export,-1e-10,hl,2021 week 4
125,126,net_export,-1e-10,hl,2021 week 4
126,127,net_export,-1e-10,hl,2021 week 4
127,128,net_export,-1e-10,hl,2021 week 4
128,129,net_export,-1e-10,hl,2021 week 4
129,130,net_export,-1e-10,hl,2021 week 4
130,131,net_export,-1e-10,hl,2021 week 4
131,132,net_export,-1e-10,hl,2021 week 4
132,133,net_export,-1e-10,hl,2021 week 4
133,134,net_export,-1e-10,hl,2021 week 4
134,135,net_export,-1e-10,hl,2021 week 4
135,136,net_export,-1e-10,hl,2021 week 4
136,137,net_export,-1e-10,hl,2021 week 4
137,138,net_export,-1e-10,hl,2021 week 4
138,139,net_export,-1e-10,hl,2021 week 4
139,140,net_export,-1e-10,hl,2021 week 4
140,141,net_export,-1e-10,hl,2021 week 4
141,142,net_export,-1e-10,hl,2021 week 4
142,143,net_export,-1e-10,hl,2021 week 4
143,144,net_export,-1e-10,hl,2021 week 4
144,145,net_export,-1e-10,hl,2021 week 4
145,146,net_export,-1e-10,hl,2021 week 4
146,147,net_export,-1e-10,hl,2021 week 4
147,148,net_export,-1e-10,hl,2021 week 4
148,149,net_export,-1e-10,hl,2021 week 4
149,150,net_export,-1e-10,hl,2021 week 4
150,151,net_export,-1e-10,hl,2021 week 4
151,152,net_export,-1e-10,hl,2021 week 4
152,153,net_export,-1e-10,hl,2021 week 4
153,154,net_export,-1e-10,hl,2021 week 4
154,155,net_export,-1e-10,hl,2021 week 4
155,156,net_export,-1e-10,hl,2021 week 4
156,157,net_export,-1e-10,hl,2021 week 4
157,158,net_export,-1e-10,hl,2021 week 4
158,159,net_export,-1e-10,hl,2021 week 4
159,160,net_export,-752.4202245252025,hl,2021 week 4
160,161,net_export,-1e-10,hl,2021 week 4
161,162,net_export,-1e-10,hl,2021 week 4
162,163,net_export,-461.0577391788596,hl,2021 week 4
163,164,net_export,-838.9774448770867,hl,2021 week 4
164,165,net_export,-1184.2595873811106,hl,2021 week 4
165,166,net_export,-1736.7423833234568,hl,2021 week 4
166,167,net_export,-1e-10,hl,2021 week 4
167,168,net_export,-1e-10,hl,2021 week 4
168,1,charge,-1e-10,hl,2021 week 4
169,2,charge,-1e-10,hl,2021 week 4
170,3,charge,-1e-10,hl,2021 week 4
171,4,charge,-1e-10,hl,2021 week 4
172,5,charge,-1e-10,hl,2021 week 4
173,6,charge,-1e-10,hl,2021 week 4
174,7,charge,-1e-10,hl,2021 week 4
175,8,charge,-1e-10,hl,2021 week 4
176,9,charge,-1e-10,hl,2021 week 4
177,10,charge,-1e-10,hl,2021 week 4
178,11,charge,-1e-10,hl,2021 week 4
179,12,charge,-1e-10,hl,2021 week 4
180,13,charge,-1e-10,hl,2021 week 4
181,14,charge,-1e-10,hl,2021 week 4
182,15,charge,-1e-10,hl,2021 week 4
183,16,charge,-1e-10,hl,2021 week 4
184,17,charge,-1e-10,hl,2021 week 4
185,18,charge,-1e-10,hl,2021 week 4
186,19,charge,-1e-10,hl,2021 week 4
187,20,charge,-1e-10,hl,2021 week 4
188,21,charge,-1e-10,hl,2021 week 4
189,22,charge,-1e-10,hl,2021 week 4
190,23,charge,-1e-10,hl,2021 week 4
191,24,charge,-1e-10,hl,2021 week 4
192,25,charge,-1e-10,hl,2021 week 4
193,26,charge,-1e-10,hl,2021 week 4
194,27,charge,-1e-10,hl,2021 week 4
195,28,charge,-1e-10,hl,2021 week 4
196,29,charge,-1e-10,hl,2021 week 4
197,30,charge,-1e-10,hl,2021 week 4
198,31,charge,-1e-10,hl,2021 week 4
199,32,charge,-1e-10,hl,2021 week 4
200,33,charge,-1e-10,hl,2021 week 4
201,34,charge,-1e-10,hl,2021 week 4
202,35,charge,-1e-10,hl,2021 week 4
203,36,charge,-1e-10,hl,2021 week 4
204,37,charge,-1e-10,hl,2021 week 4
205,38,charge,-1e-10,hl,2021 week 4
206,39,charge,-1e-10,hl,2021 week 4
207,40,charge,-1e-10,hl,2021 week 4
208,41,charge,-1e-10,hl,2021 week 4
209,42,charge,-1e-10,hl,2021 week 4
210,43,charge,-1e-10,hl,2021 week 4
211,44,charge,-1e-10,hl,2021 week 4
