,hour,tech,dispatch,zone,period
0,1,net_export,-13138.482512000279,ime,2021 week 9
1,2,net_export,-13411.187675059457,ime,2021 week 9
2,3,net_export,-13374.869227886975,ime,2021 week 9
3,4,net_export,-13650.133424576485,ime,2021 week 9
4,5,net_export,-13042.45071509325,ime,2021 week 9
5,6,net_export,-12473.291914468187,ime,2021 week 9
6,7,net_export,-11219.564647927957,ime,2021 week 9
7,8,net_export,-10333.465647922956,ime,2021 week 9
8,9,net_export,-11568.163204126522,ime,2021 week 9
9,10,net_export,-11998.416095178241,ime,2021 week 9
10,11,net_export,-10059.097453027734,ime,2021 week 9
11,12,net_export,-10059.043175589362,ime,2021 week 9
12,13,net_export,-10048.32376664195,ime,2021 week 9
13,14,net_export,-9825.996566788443,ime,2021 week 9
14,15,net_export,-8813.87245455177,ime,2021 week 9
15,16,net_export,-7663.731475521674,ime,2021 week 9
16,17,net_export,-6184.16453223717,ime,2021 week 9
17,18,net_export,-5588.888220714418,ime,2021 week 9
18,19,net_export,-6354.69653555742,ime,2021 week 9
19,20,net_export,-6520.580600582669,ime,2021 week 9
20,21,net_export,-6939.687736923419,ime,2021 week 9
21,22,net_export,-8238.530857544487,ime,2021 week 9
22,23,net_export,-10096.945067463263,ime,2021 week 9
23,24,net_export,-12078.04470087219,ime,2021 week 9
24,25,net_export,-13344.83623519031,ime,2021 week 9
25,26,net_export,-12720.285942491404,ime,2021 week 9
26,27,net_export,-12823.961456363868,ime,2021 week 9
27,28,net_export,-12222.993579066595,ime,2021 week 9
28,29,net_export,-12176.766175412331,ime,2021 week 9
29,30,net_export,-12847.931551454085,ime,2021 week 9
30,31,net_export,-12587.057534746498,ime,2021 week 9
31,32,net_export,-10500.454312553098,ime,2021 week 9
32,33,net_export,-8847.924050673508,ime,2021 week 9
33,34,net_export,-11580.025538314327,ime,2021 week 9
34,35,net_export,-10716.33653794901,ime,2021 week 9
35,36,net_export,-10518.156360614434,ime,2021 week 9
36,37,net_export,-11180.453556547822,ime,2021 week 9
37,38,net_export,-11403.393184203494,ime,2021 week 9
38,39,net_export,-10944.405374193477,ime,2021 week 9
39,40,net_export,-9636.961694573909,ime,2021 week 9
40,41,net_export,-8821.495289829058,ime,2021 week 9
41,42,net_export,-8023.810452078057,ime,2021 week 9
42,43,net_export,-7445.489235841117,ime,2021 week 9
43,44,net_export,-6387.495748903415,ime,2021 week 9
44,45,net_export,-6783.756091689658,ime,2021 week 9
45,46,net_export,-7582.62383852834,ime,2021 week 9
46,47,net_export,-8888.046090527649,ime,2021 week 9
47,48,net_export,-10044.504537047591,ime,2021 week 9
48,49,net_export,-10388.164385117765,ime,2021 week 9
49,50,net_export,-10763.304252767148,ime,2021 week 9
50,51,net_export,-10943.385210614646,ime,2021 week 9
51,52,net_export,-10908.138324476618,ime,2021 week 9
52,53,net_export,-10515.48830000941,ime,2021 week 9
53,54,net_export,-8325.786667847035,ime,2021 week 9
54,55,net_export,-7336.297380620044,ime,2021 week 9
55,56,net_export,-6329.783516905138,ime,2021 week 9
56,57,net_export,-4999.933518019341,ime,2021 week 9
57,58,net_export,-4471.387345920895,ime,2021 week 9
58,59,net_export,-3830.897581798115,ime,2021 week 9
59,60,net_export,-5284.786529773864,ime,2021 week 9
60,61,net_export,-5447.021326676614,ime,2021 week 9
61,62,net_export,-5041.391258476114,ime,2021 week 9
62,63,net_export,-5100.029834650864,ime,2021 week 9
63,64,net_export,-4737.037964868894,ime,2021 week 9
64,65,net_export,-4207.198875134403,ime,2021 week 9
65,66,net_export,-4222.416348548403,ime,2021 week 9
66,67,net_export,-5042.494911030153,ime,2021 week 9
67,68,net_export,-4736.293095181655,ime,2021 week 9
68,69,net_export,-4862.028576910654,ime,2021 week 9
69,70,net_export,-5111.459415565965,ime,2021 week 9
70,71,net_export,-5789.671227903125,ime,2021 week 9
71,72,net_export,-6469.385752430819,ime,2021 week 9
72,73,net_export,-6894.56466390898,ime,2021 week 9
73,74,net_export,-8237.346450487177,ime,2021 week 9
74,75,net_export,-8436.977366589683,ime,2021 week 9
75,76,net_export,-7980.950447503255,ime,2021 week 9
76,77,net_export,-10136.097391647261,ime,2021 week 9
