Time_Index,None,HL_Coal,IME_Coal,JL_Coal,LN_Coal,SD_Coal,JB_Coal,HL_Gas,IME_Gas,JL_Gas,LN_Gas,SD_Gas,JB_Gas
0,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
1,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
2,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
3,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
4,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
5,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
6,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
7,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
8,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
9,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
10,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
11,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
12,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
13,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
14,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
15,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
16,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
17,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
18,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
19,0,5.310850135,4.588362969,5.138940342,4.961898914,999,999,14.70532643,999,999,13.72245114,999,999
