region,Resource,Plant name,Plant name (other),technology,R_ID,Zone,STOR,SOLAR,BIOPOWER,COAL,GEOTHERMAL,WIND,GAS,LHYDRO,SHYDRO,HYDRO,NUCLEAR,NONDISP,RENEW,OTHER,Existing_Cap_MW,num_units,Cap_Size,Existing_Cap_MWh,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,,,
HL,Anda Cogen power station Unit 1,鑫玛热电集团安达热电,安达鑫玛热电,cogen_conventional_steam_coal,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117,13.7,11.3126,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Anda Cogen power station Unit 2,鑫玛热电集团安达热电,安达鑫玛热电,cogen_conventional_steam_coal,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117,13.7,11.3126,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Bei'an power station Phase II Unit 3,"国电北安热电厂, 国能北安2×350MW热电联产扩建工程",,cogen_conventional_steam_coal,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,350,1,350,0,1.78,117,13.7,9.4655,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Bei'an power station Phase II Unit 4,"国电北安热电厂, 国能北安2×350MW热电联产扩建工程",,cogen_conventional_steam_coal,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,350,1,350,0,1.78,117,13.7,9.4655,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Bei'an power station Unit 1,"国电北安热电厂, 国能北安2×350MW热电联产扩建工程",,cogen_conventional_steam_coal,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117,13.7,12.1828,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Bei'an power station Unit 2,"国电北安热电厂, 国能北安2×350MW热电联产扩建工程",,cogen_conventional_steam_coal,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117,13.7,12.1828,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Ethylene Plant power station Unit 1,中石油大庆石化热电厂,,cogen_conventional_steam_coal,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1,40,0,1.78,117,13.7,12.6179,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Ethylene Plant power station Unit 2,中石油大庆石化热电厂,,cogen_conventional_steam_coal,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1,40,0,1.78,117,13.7,12.6179,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Ethylene Plant power station Unit 3,中石油大庆石化热电厂,,cogen_conventional_steam_coal,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1,40,0,1.78,117,13.7,12.6179,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Ethylene Plant power station Unit 4,中石油大庆石化热电厂,,cogen_conventional_steam_coal,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1,40,0,1.78,117,13.7,12.6179,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Ethylene Plant power station Unit 5,中石油大庆石化热电厂,,cogen_conventional_steam_coal,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1,40,0,1.78,117,13.7,12.6179,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Ethylene Plant power station Unit 6,中石油大庆石化热电厂,,cogen_conventional_steam_coal,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1,40,0,1.78,117,13.7,12.6179,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Ethylene Plant power station Unit 7,中石油大庆石化热电厂,,cogen_conventional_steam_coal,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1,40,0,1.78,117,13.7,12.6179,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Ethylene Plant power station Unit 8,中石油大庆石化热电厂,,cogen_conventional_steam_coal,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1,40,0,1.78,117,13.7,12.6179,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Hegong Linyuan power station Unit 1,大庆林源热电厂,大庆高新区林源化工园区热电站,cogen_conventional_steam_coal,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117,13.7,10.326,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Hegong Linyuan power station Unit 2,大庆林源热电厂,大庆高新区林源化工园区热电站,cogen_conventional_steam_coal,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117,13.7,10.326,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Oil Central power station Unit 1,中石油大庆油田热电厂,大庆油田热电厂上大压小热电联产项目 (Unit 4),cogen_conventional_steam_coal,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,1,200,0,1.78,117,13.7,12.6179,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Oil Central power station Unit 2,中石油大庆油田热电厂,大庆油田热电厂上大压小热电联产项目 (Unit 4),cogen_conventional_steam_coal,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,1,200,0,1.78,117,13.7,12.6179,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Oil Central power station Unit 3,中石油大庆油田热电厂,大庆油田热电厂上大压小热电联产项目 (Unit 4),cogen_conventional_steam_coal,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,1,200,0,1.78,117,13.7,12.6179,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Oil Central power station Unit 4,中石油大庆油田热电厂,大庆油田热电厂上大压小热电联产项目 (Unit 4),cogen_conventional_steam_coal,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,1,300,0,1.78,117,13.7,10.4424,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Oil Hongwei power station Unit 1,中石油大庆油田宏伟热电厂,,cogen_conventional_steam_coal,21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117,13.7,12.1828,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Oil Hongwei power station Unit 2,中石油大庆油田宏伟热电厂,,cogen_conventional_steam_coal,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117,13.7,12.1828,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Daqing Oil Hongwei power station Unit 3,中石油大庆油田宏伟热电厂,,cogen_conventional_steam_coal,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,1,100,0,1.78,117,13.7,12.1828,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Datang Harbin Cogen power station Phase II Unit 1,大唐哈尔滨第一热电厂,,cogen_conventional_steam_coal,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,660,1,660,0,1.78,117,13.7,8.702,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Datang Harbin Cogen power station Phase I Unit 1,大唐哈尔滨第一热电厂,,cogen_conventional_steam_coal,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,1,300,0,1.78,117,13.7,10.4424,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Datang Harbin Cogen power station Phase I Unit 2,大唐哈尔滨第一热电厂,,cogen_conventional_steam_coal,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,1,300,0,1.78,117,13.7,10.4424,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Datang Shuangyashan power station Unit 1,大唐双鸭山热电厂,,cogen_conventional_steam_coal,27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,1,200,0,1.78,117,13.7,11.3126,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
HL,Datang Shuangyashan power station Unit 2,大唐双鸭山热电厂,,cogen_conventional_steam_coal,28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,1,200,0,1.78,117,13.7,11.3126,HL_Coal,0.6425,1,1,0.6,0.6,8,8,,,
