region,Resource,technology,R_ID,Zone,STOR,SOLAR,BIOPOWER,COAL,GEOTHERMAL,WIND,GAS,LHYDRO,SHYDRO,HYDRO,NUCLEAR,NONDISP,RENEW,OTHER,Existing_Cap_MW,num_units,Cap_Size,Existing_Cap_MWh,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Fuel_type
HL,Daqing Oil Central power station Unit 2,cogen_conventional_steam_coal,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,1,200,0,1.78,117.0,13.7,12.6179,HL_Coal,0.6425,1.0,1.0,0.6,0.6,8,8,None
HL,Daqing Oil Central power station Unit 3,cogen_conventional_steam_coal,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200,1,200,0,1.78,117.0,13.7,12.6179,HL_Coal,0.6425,1.0,1.0,0.6,0.6,8,8,None
HL,Mudanjiang-2 power station Unit 6,conventional_steam_coal,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,215,1,215,0,1.78,117.0,13.7,12.6179,HL_Coal,0.6425,1.0,1.0,0.6,0.6,8,8,None
HL,Harbin-3 power station Unit 1,cogen_conventional_steam_coal,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,220,1,220,0,1.78,117.0,13.7,12.6179,HL_Coal,0.6425,1.0,1.0,0.6,0.6,8,8,None
HL,Harbin-3 power station Unit 2,cogen_conventional_steam_coal,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,220,1,220,0,1.78,117.0,13.7,12.6179,HL_Coal,0.6425,1.0,1.0,0.6,0.6,8,8,None
HL,Bei'an power station Unit 1,cogen_conventional_steam_coal,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117.0,13.7,12.1828,HL_Coal,0.6425,1.0,1.0,0.6,0.6,8,8,None
HL,Bei'an power station Unit 2,cogen_conventional_steam_coal,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117.0,13.7,12.1828,HL_Coal,0.6425,1.0,1.0,0.6,0.6,8,8,None
HL,Daqing Oil Hongwei power station Unit 1,cogen_conventional_steam_coal,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117.0,13.7,12.1828,HL_Coal,0.6425,1.0,1.0,0.6,0.6,8,8,None
HL,Daqing Oil Hongwei power station Unit 2,cogen_conventional_steam_coal,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,1,50,0,1.78,117.0,13.7,12.1828,HL_Coal,0.6425,1.0,1.0,0.6,0.6,8,8,None
HL,Daqing Oil Hongwei power station Unit 3,cogen_conventional_steam_coal,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,1,100,0,1.78,117.0,13.7,12.1828,HL_Coal,0.6425,1.0,1.0,0.6,0.6,8,8,None
