Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
3200,1,1,1,3200,1,14304.67267,15253.54914,11262.75668,40683.79757,2753.3927,2590.216059
,,,,,2,14157.82037,15077.21283,11045.95802,39870.07265,2753.3927,2465.477045
,,,,,3,14157.82037,15077.21283,11045.95802,38873.06978,2753.3927,2465.477045
,,,,,4,14157.82037,15077.21283,11045.95802,38873.06978,2753.3927,2465.477045
,,,,,5,14724.13342,15097.4838,11045.95802,38873.06978,2753.3927,2465.477045
,,,,,6,17289.63953,16100.89028,12600.01362,40234.06447,2753.3927,2465.477045
,,,,,7,18917.9844,17521.875,13559.58602,42169.01077,2753.3927,2590.216059
,,,,,8,18615.66925,17275.23677,13784.20962,41611.63637,2753.3927,2590.216059
,,,,,9,19329.62937,17146.97104,14711.92104,43829.0282,2753.3927,2590.216059
,,,,,10,19762.22208,17352.65778,15402.04868,46187.91873,2753.3927,2590.216059
,,,,,11,20889.38676,18248.94671,16733.71659,47122.44523,3076.357014,2590.216059
,,,,,12,20585.77422,18468.55528,15270.7682,45735.56434,3076.357014,2590.216059
,,,,,13,18882.19966,17551.1841,14999.89113,44839.26842,3076.357014,2465.477045
,,,,,14,19120.9323,17117.18797,15339.75627,46017.15115,3076.357014,2465.477045
,,,,,15,19082.91421,17590.15467,15184.31514,46156.26814,3076.357014,2465.477045
,,,,,16,19525.89127,17558.21746,15559.3904,46471.17668,2753.3927,2590.216059
,,,,,17,22014.34204,17960.47694,15887.41954,46250.89212,2951.565054,2737.953586
,,,,,18,21274.97655,19210.92707,15590.59443,44801.59702,2951.565054,2737.953586
,,,,,19,19793.02787,18907.39614,14915.04711,44126.27874,2951.565054,2737.953586
,,,,,20,20181.25514,18623.76151,15484.61112,45000.85765,2951.565054,2737.953586
,,,,,21,19540.29055,18316.21969,15079.39334,45376.27401,2951.565054,2737.953586
,,,,,22,17942.03512,18115.67819,14219.03362,48458.59281,2753.3927,2737.953586
,,,,,23,16309.99367,16864.21068,12981.43548,45285.26243,2753.3927,2737.953586
,,,,,24,14746.03309,15973.31347,11928.40404,42394.98317,2753.3927,2737.953586
,,,,,25,14292.00326,14950.5276,11429.59819,41169.96499,2810.61123,2614.794745
,,,,,26,14156.34393,14769.21401,11206.68184,40347.02404,2810.61123,2486.532905
,,,,,27,14156.34393,14769.21401,11206.68184,39335.97667,2810.61123,2486.532905
,,,,,28,14156.34393,14769.21401,11206.68184,39335.97667,2810.61123,2486.532905
,,,,,29,14696.03263,14790.93218,11206.68184,39335.97667,2810.61123,2486.532905
,,,,,30,17167.15719,15817.03492,12790.25684,40715.13834,2810.61123,2486.532905
,,,,,31,18735.59753,17270.16119,13766.62156,42671.99933,2810.61123,2614.794745
,,,,,32,18444.40409,17017.9442,13995.17602,42108.31226,2810.61123,2614.794745
,,,,,33,19132.09865,16886.7772,14939.12219,44350.81768,2810.61123,2614.794745
,,,,,34,19548.77697,17097.1164,15641.32691,46736.42438,2810.61123,2614.794745
,,,,,35,20634.47477,18013.67868,16982.96988,47681.53508,3150.987271,2614.794745
,,,,,36,20342.03167,18238.25462,15507.74906,46278.94674,3150.987271,2614.794745
,,,,,37,18701.12933,17300.13324,15232.13169,45372.49961,3150.987271,2486.532905
,,,,,38,18931.0793,16856.32046,15577.9444,46563.72273,3150.987271,2486.532905
,,,,,39,18894.45985,17339.98529,15419.78308,46704.41533,3150.987271,2486.532905
,,,,,40,19321.14021,17307.32568,15801.42208,47022.89044,2810.61123,2614.794745
,,,,,41,21739.46855,17718.68395,16135.19166,46800.11099,3019.77494,2766.273816
,,,,,42,21005.87926,18994.19726,15833.17217,45334.40156,3019.77494,2766.273816
,,,,,43,19578.4494,18687.02171,15145.80292,44651.4348,3019.77494,2766.273816
,,,,,44,20168.09974,18396.9715,15725.33417,45535.91896,3019.77494,2766.273816
,,,,,45,19335.00977,18082.47332,15313.02517,45915.58719,3019.77494,2766.273816
,,,,,46,17795.55204,17877.39573,14437.60934,49022.08299,2810.61123,2766.273816
,,,,,47,16223.55122,16597.62102,13178.35351,45823.54483,2810.61123,2766.273816
,,,,,48,14717.12663,15686.57242,12106.89424,42900.53103,2810.61123,2766.273816
,,,,,49,14141.82613,14828.0376,11494.67889,41218.85785,2866.943942,2634.319583
,,,,,50,14012.50966,14653.45158,11284.53224,40402.70105,2866.943942,2494.186789
,,,,,51,14012.50966,14653.45158,11284.53224,39401.99217,2866.943942,2494.186789
,,,,,52,14012.50966,14653.45158,11284.53224,39401.99217,2866.943942,2494.186789
,,,,,53,14537.11077,14673.21363,11284.53224,39401.99217,2866.943942,2494.186789
,,,,,54,16954.75087,15668.63881,12806.49031,40767.78069,2866.943942,2494.186789
